samp_name	source_mat_id	sample_alt_lab_ids	biosamples_accession	tissue_type	molecular_sex	molecular_sex_reference	samp_taxon_common	samp_taxon_ID	specific_host	latitude	longitude	geo_loc_name	site_name	sample_age	sample_age_upper	sample_age_lower	sample_age_inference_methods	c14_age	c14_age_sd	c14_lab_code	sample_age_reference	sample_age_notes	nuclear_sequencing_platform	nuclear_library_strategy	nuclear_depth_of_coverage	nuclear_damage_treatment	nuclear_lib_strandedness	nuclear_reference	mt_sequencing_platform	mt_library_strategy	mt_targeted_region	mt_depth_of_coverage	mt_damage_treatment	mt_lib_strandedness	mt_accession	mt_reference	curator_comments	curated_by	curation_complete
367	NMING: F32584	not applicable	SAMEA13128056	metatarsal bone of digit 3, UBERON:0003652	female	https://doi.org/10.1038/s41586-022-04824-9	Wolf	9612	Canis lupus	52.15	-7.7	Ireland	Ballynamintra Cave	13334	13227	13440	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1038/s41586-022-04824-9	Nearby sample 119 dated to 11480+/-45 BP (OxA-35455)	ILLUMINA	WGS	0.02	none	double	https://doi.org/10.1038/s41586-022-04824-9	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Anders Bergström	yes
ACAD19054	SAMA Unregistered	not applicable	SAMEA115599133	calcareous tooth, UBERON:0001091	male	https://doi.org/10.1073/pnas.2407584121	Dog	9615	Canis lupus familiaris	missing	missing	Australia	Nullarbor, SA	1116	1179	998	radiocarbon dating	1242	25	OxA-35009	https://doi.org/10.1073/pnas.2407584121		ILLUMINA	WGS	2.83	none	double	https://doi.org/10.1073/pnas.2407584121	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Lachie Scarsbrook	yes
ACAD19058	SAMA Unregistered	not applicable	SAMEA115599132	petrous part of temporal bone, UBERON:0001694	female	https://doi.org/10.1073/pnas.2407584121	Dog	9615	Canis lupus familiaris	missing	missing	Australia	Nullarbor, SA	882	959	802	radiocarbon dating	1036	25	OxA-35011	https://doi.org/10.1073/pnas.2407584121		ILLUMINA	WGS	16.6	none	double	https://doi.org/10.1073/pnas.2407584121	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Lachie Scarsbrook	yes
AH574	SMNS 32659-574	not applicable	SAMEA13128058	petrous part of temporal bone, UBERON:0001694	male	https://doi.org/10.1038/s41586-022-04824-9	Wolf	9612	Canis lupus	48.5857539	9.7649808	Germany	Aufhausener Höhle	58002	40480	78292	genetic inference	not applicable	not applicable	not applicable	https://doi.org/10.1038/s41586-022-04824-9	Late Pleistocene	ILLUMINA	WGS	0.46	full-udg	single	https://doi.org/10.1038/s41586-022-04824-9	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Anders Bergström	yes
AH575	SMNS 32659-575	not applicable	SAMEA13128059	petrous part of temporal bone, UBERON:0001694	male	https://doi.org/10.1038/s41586-022-04824-9	Wolf	9612	Canis lupus	48.5857539	9.7649808	Germany	Aufhausener Höhle	57233	57233	136466	genetic inference	not applicable	not applicable	not applicable	https://doi.org/10.1038/s41586-022-04824-9	Late Pleistocene. In clade with AH574 and AH577, so very unlikely to be much older than them.	ILLUMINA	WGS	1.53	full-udg	single	https://doi.org/10.1038/s41586-022-04824-9	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Anders Bergström	yes
AH577	SMNS 32659-577	not applicable	SAMEA13128060	petrous part of temporal bone, UBERON:0001694	female	https://doi.org/10.1038/s41586-022-04824-9	Wolf	9612	Canis lupus	48.5857539	9.7649808	Germany	Aufhausener Höhle	50238	35908	64814	genetic inference	not applicable	not applicable	not applicable	https://doi.org/10.1038/s41586-022-04824-9	Late Pleistocene	ILLUMINA	WGS	0.85	full-udg	single	https://doi.org/10.1038/s41586-022-04824-9	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Anders Bergström	yes
AL2022	missing	not applicable	SAMEA7321848	skull, UBERON:0003129	male	https://doi.org/10.1126/science.aba9572	Dog	9615	Canis lupus familiaris	41.01	28.93	Turkey	Yenikapı site, Istanbul, Marmara region	1565	missing	missing	radiocarbon dating	1642	27	OxA-36894	https://doi.org/10.1126/science.aba9572		ILLUMINA	WGS	2.6	none	double	https://doi.org/10.1126/science.aba9572	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Mattias Sherman	yes
AL2350	KZBOT_B4_1	not applicable	SAMEA13128065	tibia, UBERON:0000979	female	https://doi.org/10.1038/s41586-022-04824-9	Wolf	9612	Canis lupus	53.218325	67.866929	Kazakhstan	Botai	5169	5296	5041	radiocarbon dating	4492	29	OxA-36898	https://doi.org/10.1038/s41586-022-04824-9		ILLUMINA	WGS	1.43	none	double	https://doi.org/10.1038/s41586-022-04824-9	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Anders Bergström	yes
AL2370	NMBE_DUR_1124	AL2370	SAMEA13128120	cuspid, UBERON:0003674	female	https://doi.org/10.1038/s41586-022-04824-9	Wolf	9612	Canis lupus	46.659	7.382	Switzerland	Dürriloch, Boltigen i.S., Bern	9348	9492	9206	radiocarbon dating	missing	missing	missing	https://doi.org/10.1038/s41586-022-04824-9;https://doi.org/10.1038/s41598-017-13523-9	"""7542-7256 BC (14-C dated)"" according to https://doi.org/10.1038/s41598-017-13523-9;assumed this is cal date range for genetic inference"	ILLUMINA	WGS	0.44	none	double	https://doi.org/10.1038/s41586-022-04824-9	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Anders Bergström	yes
AL2397	missing	not applicable	SAMEA7321849	mandible, UBERON:0001684	male	https://doi.org/10.1126/science.aba9572	Dog	9615	Canis lupus familiaris	42.96	11.9	Italy	Belverde di Cetona	4000	missing	missing	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1126/science.aba9572	Italian Bronze Age ~4,300 -3700 BP	ILLUMINA	WGS	1.5	none	double	https://doi.org/10.1126/science.aba9572	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Mattias Sherman	yes
AL2541	RBINS-GOY-2812-5	not applicable	SAMEA13128061	mandible, UBERON:0001684	female	https://doi.org/10.1038/s41586-022-04824-9	Wolf	9612	Canis lupus	50.444489	5.012985	Belgium	Goyet	34030	34645	33415	radiocarbon dating	missing	missing	OxA-34429	https://doi.org/10.1038/s41586-022-04824-9		ILLUMINA	WGS	0.79	none	double	https://doi.org/10.1038/s41586-022-04824-9	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Anders Bergström	yes
AL2571	missing	not applicable	SAMEA7321850	cranium, UBERON:0003128	male	https://doi.org/10.1126/science.aba9572	Dog	9615	Canis lupus familiaris	36.46	47.07	Iran	Tepe Qela Gap (also known as Ghala Gap), Lurestan Province	5826	missing	missing	radiocarbon dating	5074	33	OxA-35324	https://doi.org/10.1126/science.aba9572		ILLUMINA	WGS	1.1	none	double	https://doi.org/10.1126/science.aba9572	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Mattias Sherman	yes
AL2657	Eliseevichi 23781 (3)	not applicable	SAMEA13128057	mandible, UBERON:0001684	male	https://doi.org/10.1038/s41586-022-04824-9	Wolf	9612	Canis lupus	53.139282	33.642275	Russia	Eliseevichi	17633	17860	17405	radiocarbon dating	14445	65	OxA-35646	https://doi.org/10.1038/s41586-022-04824-9		ILLUMINA	WGS	0.93	none	double	https://doi.org/10.1038/s41586-022-04824-9	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Anders Bergström	yes
