samp_name	biosamples_accession	source_mat_id	sample_alt_lab_ids	tissue_type	molecular_sex	molecular_sex_reference	samp_taxon_common	samp_taxon_ID	specific_host	latitude	longitude	geo_loc_name	site_name	sample_age	sample_age_upper	sample_age_lower	sample_age_inference_methods	c14_age	c14_age_sd	c14_lab_code	sample_age_reference	sample_age_notes	nuclear_sequencing_platform	nuclear_library_strategy	nuclear_depth_of_coverage	nuclear_damage_treatment	nuclear_lib_strandedness	nuclear_reference	mt_sequencing_platform	mt_library_strategy	mt_targeted_region	mt_depth_of_coverage	mt_damage_treatment	mt_lib_strandedness	mt_accession	mt_reference	curator_comments	curated_by	curation_complete
Abdul1	SAMEA7368740	AH78, 10G, 11015, #1	KD279	petrous part of temporal bone, UBERON:0001694	male	https://doi.org/10.1073/pnas.2100901118	Goat	9925	Capra, Capra hircus	34.066	48.134	Iran	Tepe Abdul Hosein, Luristan	9850.0	10150.0	9550.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	0.16	full-udg	double	https://doi.org/10.1073/pnas.2100901118	not applicable	WGS	not applicable	47.91	not applicable	not applicable	LR884198.1	not applicable		Kevin Daly	yes
Abdul2	SAMEA7368741	AH78, 10G, 11015, #2.1	KD280	petrous part of temporal bone, UBERON:0001695	male	https://doi.org/10.1073/pnas.2100901118	Goat	9925	Capra, Capra hircus	34.066	48.134	Iran	Tepe Abdul Hosein, Luristan	9850.0	10150.0	9550.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	0.24	full-udg	double	https://doi.org/10.1073/pnas.2100901118	not applicable	WGS	not applicable	86.78	not applicable	not applicable	LR884199.1	not applicable		Kevin Daly	yes
Abdul4	SAMEA7368742	AH78, 10G, 11009	KD282	petrous part of temporal bone, UBERON:0001696	female	https://doi.org/10.1073/pnas.2100901118	Bezoar	9923	Capra, Capra aegagrus	34.066	48.134	Iran	Tepe Abdul Hosein, Luristan	10066.5	10225.0	9908.0	radiocarbon dating	8946	47	UBA-39204	https://doi.org/10.1073/pnas.2100901118		ILLUMINA	WGS	2.31	full-udg	double	https://doi.org/10.1073/pnas.2100901118	not applicable	WGS	not applicable	447.64	not applicable	not applicable	LR884200.1	not applicable		Kevin Daly	yes
Abdul5	SAMEA7368743	10G 11013	AH079	petrous part of temporal bone, UBERON:0001697	male	https://doi.org/10.1073/pnas.2100901118	Goat	9925	Capra, Capra hircus	34.066	48.134	Iran	Tepe Abdul Hosein, Luristan	9850.0	10150.0	9550.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	not applicable	full-udg	double	https://doi.org/10.1073/pnas.2100901118	ILLUMINA	Targeted-Capture 	complete	3.36	full-udg	double	LR884195.1	https://doi.org/10.1073/pnas.2100901118		Kevin Daly	yes
Abdul6	SAMEA7368744	10G 11013	AH080	petrous part of temporal bone, UBERON:0001698	male	https://doi.org/10.1073/pnas.2100901118	Goat	9925	Capra, Capra hircus	34.066	48.134	Iran	Tepe Abdul Hosein, Luristan	9832.0	1950.0	1950.0	radiocarbon dating	8759	51	UBA-39206	https://doi.org/10.1073/pnas.2100901118		ILLUMINA	WGS	0.08	full-udg	double	https://doi.org/10.1073/pnas.2100901118	not applicable	WGS	not applicable	6.29	not applicable	not applicable	LR884201.1	not applicable		Kevin Daly	yes
Abdul7	SAMEA7368745	10G 11015	AH081	petrous part of temporal bone, UBERON:0001699	male	https://doi.org/10.1073/pnas.2100901118	Goat	9925	Capra, Capra hircus	34.066	48.134	Iran	Tepe Abdul Hosein, Luristan	9850.0	10150.0	9550.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	not applicable	full-udg	double	https://doi.org/10.1073/pnas.2100901118	ILLUMINA	Targeted-Capture 	complete	4	full-udg	double	LR884197.1	https://doi.org/10.1073/pnas.2100901118		Kevin Daly	yes
Abdul9	SAMEA7368746	10G 11007	AH084	petrous part of temporal bone, UBERON:0001700	male	https://doi.org/10.1073/pnas.2100901118	Goat	9925	Capra, Capra hircus	34.066	48.134	Iran	Tepe Abdul Hosein, Luristan	9850.0	10150.0	9550.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	not applicable	full-udg	double	https://doi.org/10.1073/pnas.2100901118	ILLUMINA	Targeted-Capture 	complete	6.84	full-udg	double	LR884192.1	https://doi.org/10.1073/pnas.2100901118		Kevin Daly	yes
Acem1	SAMEA4450095	AC13346	KD001	petrous part of temporal bone, UBERON:0001701	female	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	38.540978	33.771234	Turkey	Acemhöyük, Aksaray Plain	4168.5	4348.0	3989.0	radiocarbon dating	3782	41	UBA-30288	https://doi.org/10.1126/science.aas9411		ILLUMINA	WGS	4.76	full-udg	double	https://doi.org/10.1126/science.aas9411	not applicable	WGS	not applicable	411.03	not applicable	not applicable	LS992576.1	not applicable		Kevin Daly	yes
Acem2	SAMEA4591761	AC14486	KD157	petrous part of temporal bone, UBERON:0001702	male	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	38.540978	33.771234	Turkey	Acemhöyük, Aksaray Plain	3950.0	4200.0	3700.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	8.67	full-udg	double	https://doi.org/10.1126/science.aas9411	not applicable	WGS	not applicable	849.8	not applicable	not applicable	LR025741.1	not applicable		Kevin Daly	yes
Ainghazal1	SAMEA4589057	3077.261 (024) 111b AG83 PHASE 111b	VEM140	petrous part of temporal bone, UBERON:0001703	male	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	31.993514	35.98115	Jordan	Ain Ghazal, Amman	9650.0	10150.0	9150.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	0.03	full-udg	double	https://doi.org/10.1126/science.aas9411	ILLUMINA	Targeted-Capture 	complete	5.46	full-udg	double	LS992583.1	doi.org/10.1126/science.aas9411		Kevin Daly	yes
