samp_name	source_mat_id	sample_alt_lab_ids	biosamples_accession	tissue_type	molecular_sex	molecular_sex_reference	samp_taxon_common	samp_taxon_ID	specific_host	latitude	longitude	geo_loc_name	site_name	sample_age	sample_age_upper	sample_age_lower	sample_age_inference_methods	c14_age	c14_age_sd	c14_lab_code	sample_age_reference	sample_age_notes	nuclear_sequencing_platform	nuclear_library_strategy	nuclear_depth_of_coverage	nuclear_damage_treatment	nuclear_lib_strandedness	nuclear_reference	mt_sequencing_platform	mt_library_strategy	mt_targeted_region	mt_depth_of_coverage	mt_damage_treatment	mt_lib_strandedness	mt_accession	mt_reference	curator_comments	curated_by	curation_complete
ADNA_100098	not applicable	not applicable	SAMN16078402;SAMN16078403;SAMN16078404	molar tooth, UBERON:0003655	female	https://doi.org/10.1038/s41598-020-75323-y	African Forest Elephant	99490.0	Loxodonta cyclotis	37.726598	-8.774564	Portugal	Close to the mouth of the Mira River, located at the SW coast of Portugal, Vila Nova de Milfontes town	-6	-6	-7	radiocarbon dating	230	30	missing	https://doi.org/10.1038/s41598-020-75323-y		ILLUMINA	WGS	missing	none	double	https://doi.org/10.1038/s41598-020-75323-y	ILLUMINA	WGS	complete	missing	none	double	MW006629	https://doi.org/10.1038/s41598-020-75323-y		Nikolaos Psonis	yes
CGG_1_018221	4		SAMN44842740	molar tooth, UBERON:0003655	female	https://doi.org/10.1016/j.qeh.2024.100049	Woolly Mammoth	37349.0	Mammuthus primigenius	51.39	39.05	Russia	Kostenki 11-Ia	24649	25798	23500	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049	sample_age is midpoint between upper and lower bounds of Kostenki 11-Ia third mammoth bone complex, based on modelling in Rey-Iglesia et al. (2025) (Fig. 3).	ILLUMINA	WGS	0.000756	none	double	https://doi.org/10.1016/j.qeh.2024.100049	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049		Deon de Jager	yes
CGG_1_018222	5		SAMN44842741	molar tooth, UBERON:0003655	female	https://doi.org/10.1016/j.qeh.2024.100049	Woolly Mammoth	37349.0	Mammuthus primigenius	51.39	39.05	Russia	Kostenki 11-Ia	44835	71235	11587	genetic inference;radiocarbon dating	18080	60	UCIAMS-251304	https://doi.org/10.1016/j.qeh.2024.100049	Unreliable c14_age (too young). The sample_age reported is that from genetic inference (phylogenetic tip-dating).	ILLUMINA	WGS	0.002649	none	double	https://doi.org/10.1016/j.qeh.2024.100049	ILLUMINA	WGS	complete	4.5	none	double	OP838911	https://doi.org/10.1016/j.qeh.2024.100049		Deon de Jager	yes
CGG_1_018223	6		SAMN44842742	molar tooth, UBERON:0003655	male	https://doi.org/10.1016/j.qeh.2024.100049	Woolly Mammoth	37349.0	Mammuthus primigenius	51.39	39.05	Russia	Kostenki 11-Ia	24649	25798	23500	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049	sample_age is midpoint between upper and lower bounds of Kostenki 11-Ia third mammoth bone complex, based on modelling in Rey-Iglesia et al. (2025) (Fig. 3).	ILLUMINA	WGS	0.000214	none	double	https://doi.org/10.1016/j.qeh.2024.100049	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049		Deon de Jager	yes
CGG_1_018224	7	CAP_101	SAMN44842743	molar tooth, UBERON:0003655	male	https://doi.org/10.1016/j.qeh.2024.100049	Woolly Mammoth	37349.0	Mammuthus primigenius	51.39	39.05	Russia	Kostenki 11-Ia	24649	25798	23500	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049	sample_age is midpoint between upper and lower bounds of Kostenki 11-Ia third mammoth bone complex, based on modelling in Rey-Iglesia et al. (2025) (Fig. 3).	ILLUMINA	WGS	0.000003	full-udg	single	https://doi.org/10.1016/j.qeh.2024.100049	ILLUMINA	Targeted-Capture	complete	0.5	full-udg	single	not applicable	https://doi.org/10.1016/j.qeh.2024.100049		Deon de Jager	yes
CGG_1_018225	8	CAP_102	SAMN44842744	molar tooth, UBERON:0003655	missing	https://doi.org/10.1016/j.qeh.2024.100049	Woolly Mammoth	37349.0	Mammuthus primigenius	51.39	39.05	Russia	Kostenki 11-Ia	24649	25798	23500	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049	sample_age is midpoint between upper and lower bounds of Kostenki 11-Ia third mammoth bone complex, based on modelling in Rey-Iglesia et al. (2025) (Fig. 3).	ILLUMINA	WGS	0.000038	full-udg	single	https://doi.org/10.1016/j.qeh.2024.100049	ILLUMINA	Targeted-Capture	complete	6.0	full-udg	single	PQ631146	https://doi.org/10.1016/j.qeh.2024.100049		Deon de Jager	yes
CGG_1_018226	9		SAMN44842745	molar tooth, UBERON:0003655	female	https://doi.org/10.1016/j.qeh.2024.100049	Woolly Mammoth	37349.0	Mammuthus primigenius	51.39	39.05	Russia	Kostenki 11-Ia	24649	25798	23500	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049	sample_age is midpoint between upper and lower bounds of Kostenki 11-Ia third mammoth bone complex, based on modelling in Rey-Iglesia et al. (2025) (Fig. 3).	ILLUMINA	WGS	0.003974	none	double	https://doi.org/10.1016/j.qeh.2024.100049	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049		Deon de Jager	yes
CGG_1_018227	10		SAMN44842746	molar tooth, UBERON:0003655	female	https://doi.org/10.1016/j.qeh.2024.100049	Woolly Mammoth	37349.0	Mammuthus primigenius	51.39	39.05	Russia	Kostenki 11-Ia	24649	25798	23500	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049	sample_age is midpoint between upper and lower bounds of Kostenki 11-Ia third mammoth bone complex, based on modelling in Rey-Iglesia et al. (2025) (Fig. 3).	ILLUMINA	WGS	0.003350	none	double	https://doi.org/10.1016/j.qeh.2024.100049	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049		Deon de Jager	yes
CGG_1_018228	11	CAP_103	SAMN44842747	molar tooth, UBERON:0003655	female	https://doi.org/10.1016/j.qeh.2024.100049	Woolly Mammoth	37349.0	Mammuthus primigenius	51.39	39.05	Russia	Kostenki 11-Ia	24031	35435	9059	genetic inference	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049	Phylogenetic tip-dating	ILLUMINA	WGS	0.000326	full-udg	single	https://doi.org/10.1016/j.qeh.2024.100049	ILLUMINA	Targeted-Capture	complete	22.1	full-udg	single	PQ631147	https://doi.org/10.1016/j.qeh.2024.100049		Deon de Jager	yes
CGG_1_018229	12	CAP_104	SAMN44842748	molar tooth, UBERON:0003655	male	https://doi.org/10.1016/j.qeh.2024.100049	Woolly Mammoth	37349.0	Mammuthus primigenius	51.39	39.05	Russia	Kostenki 11-Ia	18076	39197	3017	genetic inference	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049	Phylogenetic tip-dating	ILLUMINA	WGS	0.000021	full-udg	single	https://doi.org/10.1016/j.qeh.2024.100049	ILLUMINA	Targeted-Capture	complete	26.4	full-udg	single	PQ631150	https://doi.org/10.1016/j.qeh.2024.100049		Deon de Jager	yes
CGG_1_018230	13	CAP_105	SAMN44842749	molar tooth, UBERON:0003655	missing	https://doi.org/10.1016/j.qeh.2024.100049	Woolly Mammoth	37349.0	Mammuthus primigenius	51.39	39.05	Russia	Kostenki 11-Ia	24649	25798	23500	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049	sample_age is midpoint between upper and lower bounds of Kostenki 11-Ia third mammoth bone complex, based on modelling in Rey-Iglesia et al. (2025) (Fig. 3).	ILLUMINA	WGS	0.000004	full-udg	single	https://doi.org/10.1016/j.qeh.2024.100049	ILLUMINA	Targeted-Capture	complete	0.8	full-udg	single	not applicable	https://doi.org/10.1016/j.qeh.2024.100049		Deon de Jager	yes
CGG_1_018231	14	CAP_106	SAMN44842750	molar tooth, UBERON:0003655	female	https://doi.org/10.1016/j.qeh.2024.100049	Woolly Mammoth	37349.0	Mammuthus primigenius	51.39	39.05	Russia	Kostenki 11-Ia	24649	25798	23500	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049	sample_age is midpoint between upper and lower bounds of Kostenki 11-Ia third mammoth bone complex, based on modelling in Rey-Iglesia et al. (2025) (Fig. 3).	ILLUMINA	WGS	0.000133	full-udg	single	https://doi.org/10.1016/j.qeh.2024.100049	ILLUMINA	Targeted-Capture	complete	0.3	full-udg	single	not applicable	https://doi.org/10.1016/j.qeh.2024.100049		Deon de Jager	yes
