samp_name	source_mat_id	sample_alt_lab_ids	biosamples_accession	tissue_type	molecular_sex	molecular_sex_reference	samp_taxon_common	samp_taxon_ID	specific_host	latitude	longitude	geo_loc_name	site_name	sample_age	sample_age_upper	sample_age_lower	sample_age_inference_methods	c14_age	c14_age_sd	c14_lab_code	sample_age_reference	sample_age_notes	nuclear_sequencing_platform	nuclear_library_strategy	nuclear_depth_of_coverage	nuclear_damage_treatment	nuclear_lib_strandedness	nuclear_reference	mt_sequencing_platform	mt_library_strategy	mt_targeted_region	mt_depth_of_coverage	mt_damage_treatment	mt_lib_strandedness	mt_accession	mt_reference	curator_comments	curated_by	curation_complete
AC01	M1	missing	SAMEA120246515	metatarsal bone of digit 5, UBERON:0003654	male	AaRC curator	European wildcat	463207	Felis silvestris	44.16	8.33	Italy	Arene Candide (Finale Ligure, Savona, Liguria)	10500	11000	10000	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1126/science.adt2642		ILLUMINA	WGS	0.561	none	double	https://doi.org/10.1126/science.adt2642	ILLUMINA	WGS	not applicable	54.6272	none	double	not applicable	not applicable		Marco De Martino	yes
AF03	2850	missing	SAMEA120246516	left pelvis, UBERON:0001270	male	AaRC curator	Domestic cat	9685	Felis catus	42.08	13.41	Italy	Alba Fucens -Cisterna (Fucino, Abruzzi)	1675	1740	1610	radiocarbon dating	1783	24	RICH-29170	https://doi.org/10.1126/science.adt2642		ILLUMINA	WGS	0.351	none	double	https://doi.org/10.1126/science.adt2642	ILLUMINA	WGS	not applicable	107.2794	none	double	not applicable	not applicable		Marco De Martino	yes
ASK01	UNR 1130-1;l. 2J	missing	SAMEA120246517	humerus, UBERON:0000976	female	AaRC curator	European wildcat	463207	Felis silvestris	38.35	34.23	Turkey	Aşıklı Höyük	9730	9900	9560	radiocarbon dating	8745	37	RICH-25375	https://doi.org/10.1126/science.adt2642		ILLUMINA	WGS	0.071	none	double	https://doi.org/10.1126/science.adt2642	ILLUMINA	WGS	not applicable	7.3455	none	double	not applicable	not applicable		Marco De Martino	yes
BA02	EN II/3A	missing	SAMEA120246518	mandible, UBERON:0001684	female	AaRC curator	European wildcat	463207	Felis silvestris	37.21	30.47	Turkey	Bademağacı	8296	8380	8190	radiocarbon dating	7496	32	RICH-34506	https://doi.org/10.1126/science.adt2642		ILLUMINA	WGS	0.275	none	double	https://doi.org/10.1126/science.adt2642	ILLUMINA	WGS	not applicable	27.3956	none	double	not applicable	not applicable		Marco De Martino	yes
BA03	EN II/3	missing	SAMEA120246519	mandible, UBERON:0001684	male	AaRC curator	European wildcat	463207	Felis silvestris	37.21	30.47	Turkey	Bademağacı	8253	8340	6640	radiocarbon dating	7398	32	RICH-34508	https://doi.org/10.1126/science.adt2642		ILLUMINA	WGS	0.313	none	double	https://doi.org/10.1126/science.adt2642	ILLUMINA	WGS	not applicable	58.5338	none	double	not applicable	not applicable		Marco De Martino	yes
BHHL01	HH/7-B	missing	SAMEA120246520	tibia, UBERON:0000979	male	AaRC curator	Domestic cat	9685	Felis catus	48.69	16.87	Austria	Bernhardsthal	1075	1180	970	radiocarbon dating	1165	26	RICH-34515	https://doi.org/10.1126/science.adt2642		ILLUMINA	WGS	0.498	none	double	https://doi.org/10.1126/science.adt2642	ILLUMINA	WGS	not applicable	82.1572	none	double	not applicable	not applicable		Marco De Martino	yes
BHHL03	V/37	missing	SAMEA120246521	radius, UBERON:0001423	male	AaRC curator	European wildcat	463207	Felis silvestris	48.69	16.87	Austria	Bernhardsthal	1075	1180	970	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1126/science.adt2642		ILLUMINA	WGS	0.215	none	double	https://doi.org/10.1126/science.adt2642	ILLUMINA	WGS	not applicable	30.3349	none	double	not applicable	not applicable		Marco De Martino	yes
BP01	ID 688;SU 7137	missing	SAMEA120246522	femur, UBERON:0000981	male	AaRC curator	Domestic cat	9685	Felis catus	38.71	-9.14	Portugal	Bank of Portugal	1006	1060	930	radiocarbon dating	1084	23	RICH-35365	https://doi.org/10.1126/science.adt2642		ILLUMINA	WGS	0.176	none	double	https://doi.org/10.1126/science.adt2642	ILLUMINA	WGS	not applicable	116.5058	none	double	not applicable	not applicable		Marco De Martino	yes
BP02	ID 3164;SU 20125	missing	SAMEA120246523	femur, UBERON:0000981	male	AaRC curator	Domestic cat	9685	Felis catus	38.71	-9.14	Portugal	Bank of Portugal	985	1050	910	radiocarbon dating	1049	23	RICH-35366	https://doi.org/10.1126/science.adt2642		ILLUMINA	WGS	0.172	none	double	https://doi.org/10.1126/science.adt2642	ILLUMINA	WGS	not applicable	41.3055	none	double	not applicable	not applicable		Marco De Martino	yes
BP03	ID 3371;SU 20162	missing	SAMEA120246524	humerus, UBERON:0000976	male	AaRC curator	Domestic cat	9685	Felis catus	38.71	-9.14	Portugal	Bank of Portugal	997	1060	920	radiocarbon dating	1059	23	RICH-35367	https://doi.org/10.1126/science.adt2642		ILLUMINA	WGS	0.168	none	double	https://doi.org/10.1126/science.adt2642	ILLUMINA	WGS	not applicable	28.0161	none	double	not applicable	not applicable		Marco De Martino	yes
