samp_name	source_mat_id	sample_alt_lab_ids	biosamples_accession	tissue_type	molecular_sex	molecular_sex_reference	samp_taxon_common	samp_taxon_ID	specific_host	latitude	longitude	geo_loc_name	site_name	sample_age	sample_age_upper	sample_age_lower	sample_age_inference_methods	c14_age	c14_age_sd	c14_lab_code	sample_age_reference	sample_age_notes	nuclear_sequencing_platform	nuclear_library_strategy	nuclear_depth_of_coverage	nuclear_damage_treatment	nuclear_lib_strandedness	nuclear_reference	mt_sequencing_platform	mt_library_strategy	mt_targeted_region	mt_depth_of_coverage	mt_damage_treatment	mt_lib_strandedness	mt_accession	mt_reference	curator_comments	curated_by	curation_complete
CH126	1931-6	not applicable	not applicable	left upper secondary canine tooth, UBERON:8490031	missing	not applicable	not applicable	523822	Archaeolemur edwardsi	missing	missing	Madagascar	missing	missing	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	cyt b	2	none	single	EU441939	https://doi.org/10.1186/1471-2148-8-121		Gisela Kopp	yes
CH146	1935-419	not applicable	not applicable	molar tooth, UBERON:0003655	missing	not applicable	not applicable	523821	Archaeolemur majori	missing	missing	Madagascar	missing	missing	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	cyt b;12S rRNA	4	none	single	EU441940;EU441938	https://doi.org/10.1186/1471-2148-8-121		Gisela Kopp	yes
CH210	1936-200	not applicable	not applicable	tooth of lower jaw, UBERON:0003268	missing	not applicable	not applicable	523821	Archaeolemur majori	missing	missing	Madagascar	missing	missing	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	cyt b	3	none	single	EU441941	https://doi.org/10.1186/1471-2148-8-121		Gisela Kopp	yes
CH421	1935-408	not applicable	not applicable	calcareous tooth, UBERON:0001091	missing	not applicable	not applicable	523825	Hadropithecus stenognathus	missing	missing	Madagascar	missing	missing	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	cyt b	1	none	single	EU441943	https://doi.org/10.1186/1471-2148-8-121		Gisela Kopp	yes
CH147	1937-44	not applicable	not applicable	bone element, UBERON:0001474	missing	not applicable	koala lemur	185953	Megaladapis edwardsi	missing	missing	Madagascar	missing	missing	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	cyt b	2	none	single	EU441942	https://doi.org/10.1186/1471-2148-8-121		Gisela Kopp	yes
AMNH268010	268010	not applicable	not applicable	ulna, UBERON:0001424	missing	not applicable	Jamaican monkey	2490931	Xenothrix mcgregori	77.21667	17.73333	Jamaica	Somerville Cave	1477	1511	1443	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1093/jmammal/gyw165	not directly dated, but sample from same assemblage dated to 1477 +- 34 cal BP https://doi.org/10.1093/jmammal/gyw165	ILLUMINA	Targeted-Capture	84.02	missing	double	https://doi.org/10.1073/pnas.1808603115	ILLUMINA	Targeted-Capture	complete	13.81	missing	double	MK073942	https://doi.org/10.1073/pnas.1808603115	nuclear accession MK073943-MK073960	Gisela Kopp	yes
AAR-24006	AAR-24006	not applicable	SAMEA6452737;SAMEA6452738;SAMEA6452739;SAMEA6452740;SAMEA6452741;SAMEA6452742;SAMEA6452743;SAMEA6452744;SAMEA6452745;SAMEA6452746;SAMEA6452777;SAMEA6452747;SAMEA6452748;	proximal phalanx, UBERON:0004302	male	https://doi.org/10.1093/gbe/evaa019	chacma baboon	208089	Papio ursinus	27.80	-29.33	Lesotho	Ha Makotoko	5776	5894	5657	radiocarbon dating	5059	30	AAR-24006	https://doi.org/10.1093/gbe/evaa019	not applicable	ILLUMINA	WGS	0.9	partial-udg	double	https://doi.org/10.1093/gbe/evaa019	ILLUMINA	WGS	complete	36.6	partial-udg	double	missing	https://doi.org/10.1093/gbe/evaa019		Gisela Kopp	yes
UA 3907, HP4	UA 3907, HP4	not applicable	SAMN03283992	humerus, UBERON:0000976	missing	not applicable	not applicable	523825	Hadropithecus stenognathus	-25.17	45.05	Madagascar	Anavoha	2244	2342	2154	radiocarbon dating	2245	35	CAMS 142891	https://doi.org/10.1016/j.quascirev.2010.06.030	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ILLUMINA	WGS	complete	3.3	none	double	missing	https://doi.org/10.1016/j.jhevol.2014.06.016	mt_accession on dryad http://dx.doi.org/10.5061/dryad.32n76	Gisela Kopp	yes
UA 5180, AM6130	UA 5180, AM6130	not applicable	SAMN03283996;SAMN08793325	mandible, UBERON:0001684	missing	not applicable	koala lemur	185953	Megaladapis edwardsi	-25.17	45.05	Madagascar	Anavoha	1531	1614	1416	radiocarbon dating	1640	30	CAMS 142541	https://doi.org/10.1016/j.quascirev.2010.06.030	recalibration with updated calibaration curve SHCal20 to 1.475+-65 cal y B.P. in https://doi.org/10.1073/pnas.2022117118	ILLUMINA	WGS	2	none	double	https://doi.org/10.1073/pnas.2022117118	ILLUMINA	WGS	complete	12	none	double	KJ944208	https://doi.org/10.1016/j.jhevol.2014.06.016		Gisela Kopp	yes
UA 4822/AM6479	UA 4822/AM6479	not applicable	SAMN03283998	missing	missing	not applicable	koala lemur	185953	Megaladapis edwardsi	-25.07	44.32	Madagascar	Bevoha	1744	1881	1572	radiocarbon dating	1815	60	NZA R	https://doi.org/10.1016/j.quascirev.2010.06.030	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ILLUMINA	WGS	complete	18.3	none	double	missing	https://doi.org/10.1016/j.jhevol.2014.06.016	mt_accession on dryad http://dx.doi.org/10.5061/dryad.32n76	Gisela Kopp	yes
UA 1708, HPL201	UA 1708, HPL201	not applicable	SAMN03283999	humerus, UBERON:0000976	missing	not applicable	not applicable	1513475	Pachylemur jullyi	-18.90	46.73	Madagascar	Ampasambazimba	1235	1290	1178	radiocarbon dating	1300	30	CAMS 142605	https://doi.org/10.1016/j.quascirev.2010.06.030	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ILLUMINA	WGS	complete	6.4	none	double	KJ944219	https://doi.org/10.1016/j.jhevol.2014.06.016		Gisela Kopp	yes
UA 4513/AM6875	UA 4513/AM6875	not applicable	SAMN03284002	calcareous tooth, UBERON:0001091	missing	not applicable	giant sloth lemur	1597978	Palaeopropithecus maximus	-18.90	46.73	Madagascar	Ampasambazimba	missing	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ILLUMINA	Targeted-Capture	complete	7.4	none	double	missing	https://doi.org/10.1016/j.jhevol.2014.06.016	mt_accession on dryad http://dx.doi.org/10.5061/dryad.32n76	Gisela Kopp	yes
AM 6184	AM 6184	not applicable	SAMN03284008	mandible, UBERON:0001684	missing	not applicable	large sloth lemur	1513477	Palaeopropithecus ingens	-24.55	43.93	Madagascar	Ankazoabo Grotte	1069	1344	739	radiocarbon dating	1148	162	AM 6184	https://doi.org/10.1073/pnas.0408354102	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ILLUMINA	WGS;Targeted-Capture	complete	114	none	double	KJ944220	https://doi.org/10.1016/j.jhevol.2014.06.016		Gisela Kopp	yes
