samp_name	biosamples_accession	sample_alt_lab_ids	source_mat_id	tissue_type	molecular_sex	molecular_sex_reference	samp_taxon_common	samp_taxon_ID	specific_host	latitude	longitude	geo_loc_name	site_name	sample_age	sample_age_upper	sample_age_lower	sample_age_inference_methods	c14_age	c14_age_sd	c14_lab_code	sample_age_reference	sample_age_notes	nuclear_sequencing_platform	nuclear_library_strategy	nuclear_depth_of_coverage	nuclear_damage_treatment	nuclear_lib_strandedness	nuclear_reference	mt_sequencing_platform	mt_library_strategy	mt_targeted_region	mt_depth_of_coverage	mt_damage_treatment	mt_lib_strandedness	mt_accession	mt_reference	curator_comments	curated_by	curation_complete
CH221	missing	BO221	missing	humerus, UBERON:0000976	missing	not applicable	Sheep	9940.0	Ovis aries	44.306389	4.4725	France	Baume d'Oullens	missing	missing	missing	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1111/age.13191		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	3	none	missing	MW684452.1	https://doi.org/10.1111/age.13191		Laura Viñas Caron;Dani Kitaygorodskiy	yes
CH222	missing	BO222	missing	humerus, UBERON:0000976	missing	not applicable	Sheep	9940.0	Ovis aries	44.306389	4.4725	France	Baume d'Oullens	missing	missing	missing	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1111/age.13191		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	0	none	missing	MW684453.1	https://doi.org/10.1111/age.13191		Laura Viñas Caron;Dani Kitaygorodskiy	yes
CH223	missing	BO223	missing	humerus, UBERON:0000976	missing	not applicable	Sheep	9940.0	Ovis aries	44.306389	4.4725	France	Baume d'Oullens	missing	missing	missing	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1111/age.13191		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	2	none	missing	MW684454.1	https://doi.org/10.1111/age.13191		Laura Viñas Caron;Dani Kitaygorodskiy	yes
CH224	missing	BO224	missing	humerus, UBERON:0000976	missing	not applicable	Sheep	9940.0	Ovis aries	44.306389	4.4725	France	Baume d'Oullens	missing	missing	missing	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1111/age.13191		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	2	none	missing	MW684455.1	https://doi.org/10.1111/age.13191		Laura Viñas Caron;Dani Kitaygorodskiy	yes
CH225	missing	BO225	missing	humerus, UBERON:0000976	missing	not applicable	Sheep	9940.0	Ovis aries	44.306389	4.4725	France	Baume d'Oullens	missing	missing	missing	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1111/age.13191		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	0	none	missing	MW684456.1	https://doi.org/10.1111/age.13191		Laura Viñas Caron;Dani Kitaygorodskiy	yes
CH315	missing	BO315	missing	humerus, UBERON:0000976	missing	not applicable	Sheep	9940.0	Ovis aries	44.306389	4.4725	France	Baume d'Oullens	missing	missing	missing	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1111/age.13191		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	2	none	missing	MW684457.1	https://doi.org/10.1111/age.13191		Laura Viñas Caron;Dani Kitaygorodskiy	yes
CH316	missing	BO316	missing	humerus, UBERON:0000976	missing	not applicable	Sheep	9940.0	Ovis aries	44.306389	4.4725	France	Baume d'Oullens	missing	missing	missing	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1111/age.13191		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	2	none	missing	MW684458.1	https://doi.org/10.1111/age.13191		Laura Viñas Caron;Dani Kitaygorodskiy	yes
CH317	missing	BO317	missing	humerus, UBERON:0000976	missing	not applicable	Sheep	9940.0	Ovis aries	44.306389	4.4725	France	Baume d'Oullens	missing	missing	missing	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1111/age.13191		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	2	none	missing	MW684459.1	https://doi.org/10.1111/age.13191		Laura Viñas Caron;Dani Kitaygorodskiy	yes
CH318	missing	BO318	missing	humerus, UBERON:0000976	missing	not applicable	Sheep	9940.0	Ovis aries	44.306389	4.4725	France	Baume d'Oullens	missing	missing	missing	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1111/age.13191		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	2	none	missing	MW684460.1	https://doi.org/10.1111/age.13191		Laura Viñas Caron;Dani Kitaygorodskiy	yes
CH319	missing	BO319	missing	humerus, UBERON:0000976	missing	not applicable	Sheep	9940.0	Ovis aries	44.306389	4.4725	France	Baume d'Oullens	missing	missing	missing	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1111/age.13191		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	2	none	missing	MW684461.1	https://doi.org/10.1111/age.13191		Laura Viñas Caron;Dani Kitaygorodskiy	yes
