samp_name	source_mat_id	sample_alt_lab_ids	biosamples_accession	tissue_type	molecular_sex	molecular_sex_reference	samp_taxon_common	samp_taxon_ID	specific_host	latitude	longitude	geo_loc_name	site_name	sample_age	sample_age_upper	sample_age_lower	sample_age_inference_methods	c14_age	c14_age_sd	c14_lab_code	sample_age_reference	sample_age_notes	nuclear_sequencing_platform	nuclear_library_strategy	nuclear_depth_of_coverage	nuclear_damage_treatment	nuclear_lib_strandedness	nuclear_reference	mt_sequencing_platform	mt_library_strategy	mt_targeted_region	mt_depth_of_coverage	mt_damage_treatment	mt_lib_strandedness	mt_accession	mt_reference	curator_comments	curated_by	curation_complete
Ass_1	not applicable		SAMEA9567674	bone, UBERON:0001474	male	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	39.4	26.9	Turkey	Assos	1275.5	1300	1251	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	6.275	partial-udg	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	54.1	partial-udg	double	OM574967	https://doi.org/10.1038/s41467-022-30009-z		He Yu	yes
Ass_2	not applicable		SAMEA9567675	bone, UBERON:0001474	male	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	39.4	26.9	Turkey	Assos	1275.5	1300	1251	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	0.617	partial-udg	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	45.8	partial-udg	double	OM574964	https://doi.org/10.1038/s41467-022-30009-z		He Yu	yes
ATU002	AJ535		SAMEA9567673	bone, UBERON:0001474	female	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	33.9	9.5	Tunisia	Althiburos	1155.5	1244	1067	radiocarbon dating	1222	21	Wk-51527	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	1.022	none	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	76.6	none	double	OM574949	https://doi.org/10.1038/s41467-022-30009-z		He Yu	yes
BUD001	AJ389		SAMEA9567654	bone, UBERON:0001474	female	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	47.5	19.0	Hungary	Teleki Palace	142	284	0	radiocarbon dating	175	19	MAMS-46369	https://doi.org/10.1038/s41467-022-30009-z	indirectly dated using other samples from the same layer 	ILLUMINA	WGS	1.11	none	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	77.2	none	double	OM574960	https://doi.org/10.1038/s41467-022-30009-z		He Yu	yes
BUD003	AJ391		SAMEA9567655	bone, UBERON:0001474	male	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	47.5	19.0	Hungary	Teleki Palace	608.5	662	555	radiocarbon dating	642	21	Wk-51520	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	0.946	none	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	59.2	none	double	OM574961	https://doi.org/10.1038/s41467-022-30009-z		He Yu	yes
BUD004	AJ393		SAMEA9567656	bone, UBERON:0001474	male	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	47.5	19.0	Hungary	Teleki Palace	142	284	0	radiocarbon dating	175	19	MAMS-46369	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	0.874	none	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	41.1	none	double	OM574955	https://doi.org/10.1038/s41467-022-30009-z		He Yu	yes
Car_4	not applicable		SAMEA9567676	bone, UBERON:0001474	female	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	43.0	21.7	Serbia	Caričin Grad	1375	1415	1335	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	16.286	partial-udg	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	275.5	partial-udg	double	OM574942	https://doi.org/10.1038/s41467-022-30009-z		He Yu	yes
Car_5	not applicable		SAMEA9567677	bone, UBERON:0001474	female	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	43.0	21.7	Serbia	Caričin Grad	1375	1415	1335	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	1.229	partial-udg	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	234.4	partial-udg	double	OM574940	https://doi.org/10.1038/s41467-022-30009-z		He Yu	yes
Car_7	not applicable		SAMEA9567678	bone, UBERON:0001474	male	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	43.0	21.7	Serbia	Caričin Grad	1375	1415	1335	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	2.336	partial-udg	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	228.5	partial-udg	double	missing	https://doi.org/10.1038/s41467-022-30009-z	MT haplotype the same as Car_5	He Yu	yes
GAU001	AJ395		SAMEA9567657	bone, UBERON:0001474	male	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	51.5	-1.1	United Kingdom	Gatehampton Villa	1636.5	1704	1569	radiocarbon dating	1760	30	Beta-37717	https://doi.org/10.1080/14614103.2019.1689805	indirectly dated using other samples from the same layer 	ILLUMINA	WGS	0.61	none	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	94.3	none	double	OM574965	https://doi.org/10.1038/s41467-022-30009-z		He Yu	yes
GAU002	AJ399		SAMEA9567658	bone, UBERON:0001474	male	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	51.5	-1.1	United Kingdom	Gatehampton Villa	1636.5	1704	1569	radiocarbon dating	1760	30	Beta-37717	https://doi.org/10.1080/14614103.2019.1689805	indirectly dated using other samples from the same layer 	ILLUMINA	WGS	0.195	none	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	22.3	none	double	missing	https://doi.org/10.1038/s41467-022-30009-z	MT haplotype the same as GAU001	He Yu	yes
KAF001	AJ404		SAMEA9567659	bone, UBERON:0001474	male	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	60.2	20.1	Finland	Kastelholm	576	622	530	radiocarbon dating	569	21	Wk-51518	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	0.608	none	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	66.6	none	double	OM574953	https://doi.org/10.1038/s41467-022-30009-z		He Yu	yes
KAF002	AJ409		SAMEA9567660	bone, UBERON:0001474	female	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	60.2	20.1	Finland	Kastelholm	511	528	494	radiocarbon dating	463	21	Wk-51519	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	0.359	none	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	30.9	none	double	OM574954	https://doi.org/10.1038/s41467-022-30009-z		He Yu	yes
KLT001	AJ233		SAMEA9567645	bone, UBERON:0001474	male	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	54.5	-0.9	United Kingdom	Kilton Castle	597.5	647	548	radiocarbon dating	604	23	OxA-36673	https://doi.org/10.1038/s41467-022-30009-z	indirectly dated using other samples from the same layer 	ILLUMINA	WGS	1.08	none	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	23.9	none	double	OM574956	https://doi.org/10.1038/s41467-022-30009-z		He Yu	yes
KR150770	not applicable		SAMEA9567679	bone, UBERON:0001474	male	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	43.0	21.7	Serbia	Caričin Grad	1375	1415	1335	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	1.7	none	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	367.6	none	double	OM574966	https://doi.org/10.1038/s41467-022-30009-z		He Yu	yes
MDT002	AJ300		SAMEA9567646	bone, UBERON:0001474	female	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	42.6	9.4	France	Corsica, Monte di Tuda Cave	500.5	550	451	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	1.384	none	single	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	152.7	none	single	OM574950	https://doi.org/10.1038/s41467-022-30009-z		He Yu	yes
MEP001	AJ523		SAMEA9567670	bone, UBERON:0001474	male	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	37.6	-7.7	Portugal	Mértola	740	789	691	radiocarbon dating	852	21	Wk-51525	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	0.562	none	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	58.4	none	double	OM574944	https://doi.org/10.1038/s41467-022-30009-z		He Yu	yes
MEP002	AJ528		SAMEA9567671	bone, UBERON:0001474	male	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	37.6	-7.7	Portugal	Mértola	736.5	784	689	radiocarbon dating	843	21	Wk-51526	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	0.748	none	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	28.1	none	double	missing	https://doi.org/10.1038/s41467-022-30009-z	MT haplotype the same as MEP001	He Yu	yes
MEP003	AJ530		SAMEA9567672	bone, UBERON:0001474	female	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	37.6	-7.7	Portugal	Mértola	736.5	784	689	radiocarbon dating	843	21	Wk-51526	https://doi.org/10.1038/s41467-022-30009-z	indirectly dated using other samples from the same layer 	ILLUMINA	WGS	0.774	none	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	74.3	none	double	OM574957	https://doi.org/10.1038/s41467-022-30009-z		He Yu	yes
PRA001	AJ487		SAMEA9567668	bone, UBERON:0001474	male	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	49.7	13.6	Czechia	Old Probostry	581	629	533	radiocarbon dating	571	19	OxA-39167	https://doi.org/10.1038/s41467-022-30009-z	indirectly dated using other samples from the same layer 	ILLUMINA	WGS	1.237	none	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	36.5	none	double	missing	https://doi.org/10.1038/s41467-022-30009-z	MT haplotype the same as Sulz7	He Yu	yes
PRA002	AJ495		SAMEA9567669	bone, UBERON:0001474	female	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	49.7	13.6	Czechia	Old Probostry	618	673	563	radiocarbon dating	679	21	Wk-51524	https://doi.org/10.1038/s41467-022-30009-z	indirectly dated using other samples from the same layer 	ILLUMINA	WGS	0.473	none	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	14.0	none	double	missing	https://doi.org/10.1038/s41467-022-30009-z	MT haplotype the same as Sulz7	He Yu	yes
PZA001	AJ473		SAMEA9567665	bone, UBERON:0001474	female	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	48.1	16.9	Austria	Carnuntum Zivilstadt	1768	1821	1715	radiocarbon dating	1854	20	Wk-51523	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	0.23	none	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	16.0	none	double	missing	https://doi.org/10.1038/s41467-022-30009-z	MT haplotype the same as PZA003	He Yu	yes
PZA002	AJ477		SAMEA9567666	bone, UBERON:0001474	male	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	48.1	16.9	Austria	Carnuntum Zivilstadt	1802	1870	1734	radiocarbon dating	1869	20	MAMS-46371	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	0.241	none	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	29.3	none	double	missing	https://doi.org/10.1038/s41467-022-30009-z	MT haplotype the same as PZA003	He Yu	yes
PZA003	AJ482		SAMEA9567667	bone, UBERON:0001474	male	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	48.1	16.9	Austria	Carnuntum Zivilstadt	1792.5	1870	1715	radiocarbon dating	1869	20	MAMS-46371	https://doi.org/10.1038/s41467-022-30009-z	indirectly dated using other samples from the same layer 	ILLUMINA	WGS	0.834	none	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	84.0	none	double	OM574970	https://doi.org/10.1038/s41467-022-30009-z		He Yu	yes
SML001	AJ303		SAMEA9567647	bone, UBERON:0001474	female	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	41.3	9.3	France	Lavezzi archipelago, Santa Maria Chapel	600.5	650	551	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	0.897	none	single	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	62.5	none	single	missing	https://doi.org/10.1038/s41467-022-30009-z	MT haplotype the same as SML002	He Yu	yes
SML002	AJ304		SAMEA9567648	bone, UBERON:0001474	male	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	41.3	9.3	France	Lavezzi archipelago, Santa Maria Chapel	600.5	650	551	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	1.599	none	single	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	110.3	none	single	OM574962	https://doi.org/10.1038/s41467-022-30009-z		He Yu	yes
SML004	AJ309		SAMEA9567649	bone, UBERON:0001474	male	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	41.3	9.3	France	Lavezzi archipelago, Santa Maria Chapel	600.5	650	551	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	1.036	none	single	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	75.1	none	single	missing	https://doi.org/10.1038/s41467-022-30009-z	MT haplotype the same as SML005	He Yu	yes
SML005	AJ311		SAMEA9567650	bone, UBERON:0001474	female	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	41.3	9.3	France	Lavezzi archipelago, Santa Maria Chapel	600.5	650	551	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	1.525	none	single	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	91.1	none	single	OM574963	https://doi.org/10.1038/s41467-022-30009-z		He Yu	yes
SNE002	AJ464		SAMEA9567661	bone, UBERON:0001474	female	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	52.3	6.2	Netherlands	Stadhuiskwartier	562.5	600	525	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	0.547	none	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	14.6	none	double	OM574948	https://doi.org/10.1038/s41467-022-30009-z		He Yu	yes
SNE004	AJ468		SAMEA9567662	bone, UBERON:0001474	male	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	52.3	6.2	Netherlands	Stadhuiskwartier	288.5	421	156	radiocarbon dating	263	19	MAMS-46370	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	0.155	none	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	16.5	none	double	OM574958	https://doi.org/10.1038/s41467-022-30009-z		He Yu	yes
Sulz3	not applicable		SAMEA9567682	bone, UBERON:0001474	female	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	49.5	11.7	Germany	Castle Sulzbach	1125	1250	1000	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	1.818	partial-udg	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	89.6	partial-udg	double	missing	https://doi.org/10.1038/s41467-022-30009-z	MT haplotype the same as Sulz7	He Yu	yes
Sulz7	not applicable		SAMEA9567683	bone, UBERON:0001474	female	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	49.5	11.7	Germany	Castle Sulzbach	1125	1250	1000	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	1.327	partial-udg	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	111.9	partial-udg	double	OM574959	https://doi.org/10.1038/s41467-022-30009-z		He Yu	yes
TRU001	RA19		SAMEA9567680	bone, UBERON:0001474	female	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	54.0	-1.1	United Kingdom	Tanner Row	1700.5	1850	1551	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	1.263	none	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	19.2	none	double	OM574968	https://doi.org/10.1038/s41467-022-30009-z		He Yu	yes
TRU002	RA6		SAMEA9567681	bone, UBERON:0001474	male	https://doi.org/10.1038/s41467-022-30009-z	black rat	10117	Rattus rattus	54.0	-1.1	United Kingdom	Tanner Row	1700.5	1850	1551	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1038/s41467-022-30009-z		ILLUMINA	WGS	0.322	none	double	https://doi.org/10.1038/s41467-022-30009-z	ILLUMINA	WGS	WGS	12.0	none	double	missing	https://doi.org/10.1038/s41467-022-30009-z	MT haplotype the same as TRU001	He Yu	yes
