samp_name	source_mat_id	sample_alt_lab_ids	biosamples_accession	tissue_type	molecular_sex	molecular_sex_reference	samp_taxon_common	samp_taxon_ID	specific_host	latitude	longitude	geo_loc_name	site_name	sample_age	sample_age_upper	sample_age_lower	sample_age_inference_methods	c14_age	c14_age_sd	c14_lab_code	sample_age_reference	sample_age_notes	nuclear_sequencing_platform	nuclear_library_strategy	nuclear_depth_of_coverage	nuclear_damage_treatment	nuclear_lib_strandedness	nuclear_reference	mt_sequencing_platform	mt_library_strategy	mt_targeted_region	mt_depth_of_coverage	mt_damage_treatment	mt_lib_strandedness	mt_accession	mt_reference	curator_comments	curated_by	curation_complete
SC16.JK043	missing		SAMEA8456919	rib, UBERON:0002228	missing	not applicable	Steller's sea cow	63631	Hydrodamalis gigas	55.0419	166.2732	Russia	Bering Island	1380	1400	1360	radiocarbon dating	1380	20	missing	https://doi.org/10.1126/sciadv.abl6496	Current sample_age are the uncalibrated c14 dates, not ideal	ILLUMINA	WGS	2.28	none	single	https://doi.org/10.1126/sciadv.abl6496	not applicable	not applicable	not applicable	886	not applicable	not applicable	not applicable	https://doi.org/10.1126/sciadv.abl6496		Anders Bergström	yes
SC16.JK044	missing		SAMEA8456920	rib, UBERON:0002228	missing	not applicable	Steller's sea cow	63631	Hydrodamalis gigas	55.0419	166.2732	Russia	Bering Island	1250	1265	1235	radiocarbon dating	1250	15	missing	https://doi.org/10.1126/sciadv.abl6496	Current sample_age are the uncalibrated c14 dates, not ideal	ILLUMINA	WGS	1.97	none	single	https://doi.org/10.1126/sciadv.abl6496	not applicable	not applicable	not applicable	236	not applicable	not applicable	not applicable	https://doi.org/10.1126/sciadv.abl6496		Anders Bergström	yes
SC16.JK045	missing		SAMEA8456921	rib, UBERON:0002228	female	https://doi.org/10.1126/sciadv.abl6496	Steller's sea cow	63631	Hydrodamalis gigas	55.0419	166.2732	Russia	Bering Island	1260	1275	1245	radiocarbon dating	1260	15	missing	https://doi.org/10.1126/sciadv.abl6496	Check original publication for additional estimates. Current sample_age are the uncalibrated c14 dates, not ideal	ILLUMINA	WGS	15.63	none	single	https://doi.org/10.1126/sciadv.abl6496	not applicable	not applicable	not applicable	2994	not applicable	not applicable	not applicable	https://doi.org/10.1126/sciadv.abl6496		Anders Bergström	yes
SC16.JK052	missing		SAMEA8456922	rib, UBERON:0002228	missing	not applicable	Steller's sea cow	63631	Hydrodamalis gigas	55.0419	166.2732	Russia	Bering Island	1245	1260	1230	radiocarbon dating	1245	15	missing	https://doi.org/10.1126/sciadv.abl6496	Current sample_age are the uncalibrated c14 dates, not ideal	ILLUMINA	WGS	2.14	none	single	https://doi.org/10.1126/sciadv.abl6496	not applicable	not applicable	not applicable	863	not applicable	not applicable	not applicable	https://doi.org/10.1126/sciadv.abl6496		Anders Bergström	yes
SC16.JK057	missing		SAMEA8456923	rib, UBERON:0002228	missing	not applicable	Steller's sea cow	63631	Hydrodamalis gigas	55.0419	166.2732	Russia	Bering Island	1300	1315	1285	radiocarbon dating	1300	15	missing	https://doi.org/10.1126/sciadv.abl6496	Current sample_age are the uncalibrated c14 dates, not ideal	ILLUMINA	WGS	2.28	none	single	https://doi.org/10.1126/sciadv.abl6496	not applicable	not applicable	not applicable	1127	not applicable	not applicable	not applicable	https://doi.org/10.1126/sciadv.abl6496		Anders Bergström	yes
SC16.JK061	missing		SAMEA8456924	rib, UBERON:0002228	missing	not applicable	Steller's sea cow	63631	Hydrodamalis gigas	55.0419	166.2732	Russia	Bering Island	missing	missing	missing	not applicable	not applicable	not applicable	not applicable	https://doi.org/10.1126/sciadv.abl6496		ILLUMINA	WGS	3.78	none	single	https://doi.org/10.1126/sciadv.abl6496	not applicable	not applicable	not applicable	616	not applicable	not applicable	not applicable	https://doi.org/10.1126/sciadv.abl6496		Anders Bergström	yes
SC16.JK064	missing		SAMEA8456925	rib, UBERON:0002228	missing	not applicable	Steller's sea cow	63631	Hydrodamalis gigas	55.0419	166.2732	Russia	Bering Island	1565	1580	1550	radiocarbon dating	1565	15	missing	https://doi.org/10.1126/sciadv.abl6496	Current sample_age are the uncalibrated c14 dates, not ideal	ILLUMINA	WGS	3.38	none	single	https://doi.org/10.1126/sciadv.abl6496	not applicable	not applicable	not applicable	1037	not applicable	not applicable	not applicable	https://doi.org/10.1126/sciadv.abl6496		Anders Bergström	yes
SC16.JK066	missing		SAMEA8456926	rib, UBERON:0002228	missing	not applicable	Steller's sea cow	63631	Hydrodamalis gigas	55.0419	166.2732	Russia	Bering Island	2205	2220	2190	radiocarbon dating	2205	15	missing	https://doi.org/10.1126/sciadv.abl6496	Current sample_age are the uncalibrated c14 dates, not ideal	ILLUMINA	WGS	3.95	none	single	https://doi.org/10.1126/sciadv.abl6496	not applicable	not applicable	not applicable	2007	not applicable	not applicable	not applicable	https://doi.org/10.1126/sciadv.abl6496		Anders Bergström	yes
SC16.JK069	missing		SAMEA8456927	rib, UBERON:0002228	missing	not applicable	Steller's sea cow	63631	Hydrodamalis gigas	55.0419	166.2732	Russia	Bering Island	1155	1175	1135	radiocarbon dating	1155	20	missing	https://doi.org/10.1126/sciadv.abl6496	Current sample_age are the uncalibrated c14 dates, not ideal	ILLUMINA	WGS	2.58	none	single	https://doi.org/10.1126/sciadv.abl6496	not applicable	not applicable	not applicable	276	not applicable	not applicable	not applicable	https://doi.org/10.1126/sciadv.abl6496		Anders Bergström	yes
SC16.JK070	missing		SAMEA8456928	rib, UBERON:0002228	missing	not applicable	Steller's sea cow	63631	Hydrodamalis gigas	55.0419	166.2732	Russia	Bering Island	1250	1265	1235	radiocarbon dating	1250	15	missing	https://doi.org/10.1126/sciadv.abl6496	Current sample_age are the uncalibrated c14 dates, not ideal	ILLUMINA	WGS	2.69	none	single	https://doi.org/10.1126/sciadv.abl6496	not applicable	not applicable	not applicable	221	not applicable	not applicable	not applicable	https://doi.org/10.1126/sciadv.abl6496		Anders Bergström	yes
