samp_name	source_mat_id	sample_alt_lab_ids	biosamples_accession	tissue_type	molecular_sex	molecular_sex_reference	samp_taxon_common	samp_taxon_ID	specific_host	latitude	longitude	geo_loc_name	site_name	sample_age	sample_age_upper	sample_age_lower	sample_age_inference_methods	c14_age	c14_age_sd	c14_lab_code	sample_age_reference	sample_age_notes	nuclear_sequencing_platform	nuclear_library_strategy	nuclear_depth_of_coverage	nuclear_damage_treatment	nuclear_lib_strandedness	nuclear_reference	mt_sequencing_platform	mt_library_strategy	mt_targeted_region	mt_depth_of_coverage	mt_damage_treatment	mt_lib_strandedness	mt_accession	mt_reference	curator_comments	curated_by	curation_complete
Har1	98BRUV018570	JE010	SAMEA117479475	petrous part of temporal bone, UBERON:0001694	male	https://doi.org/10.1073/pnas.2410235122	Wild boar	9823	Sus Scrofa	51.8386	4.8246	Netherlands	Hardinxveld_De_Bruin	7050	7300	6800	stratigraphic inference	failed	not applicable	not applicable	https://doi.org/10.1371/journal.pone.0280619		ILLUMINA	WGS	0.04	full-udg	double	https://doi.org/10.1073/pnas.2410235122	ILLUMINA	WGS	not applicable	1.3679	full-udg	double	not applicable	not applicable		Jolijn Erven	yes
Har2	97POLV018821	JE014	SAMEA117479476	petrous part of temporal bone, UBERON:0001694	female	https://doi.org/10.1073/pnas.2410235122	Wild boar	9823	Sus Scrofa	51.8386	4.8246	Netherlands	Hardinxveld_Polderweg	7150	7300	7000	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1371/journal.pone.0280619		ILLUMINA	WGS	0.46	full-udg	double	https://doi.org/10.1073/pnas.2410235122	ILLUMINA	WGS	not applicable	6.1647	full-udg	double	not applicable	not applicable		Jolijn Erven	yes
Har3	98POLV023327	JE015	SAMEA117479477	petrous part of temporal bone, UBERON:0001694	female	https://doi.org/10.1073/pnas.2410235122	Wild boar	9823	Sus Scrofa	51.8386	4.8246	Netherlands	Hardinxveld_Polderweg	7150	7300	7000	stratigraphic inference	failed	not applicable	not applicable	https://doi.org/10.1371/journal.pone.0280619		ILLUMINA	WGS	0.44	full-udg	double	https://doi.org/10.1073/pnas.2410235122	ILLUMINA	WGS	not applicable	4.7289	full-udg	double	not applicable	not applicable		Jolijn Erven	yes
Sw1	868	JE016	SAMEA117479478	petrous part of temporal bone, UBERON:0001694	female	https://doi.org/10.1073/pnas.2410235122	Wild boar/pig	9823	Sus Scrofa	52.5673	5.6411	Netherlands	Swifterbant S2	5350	5450	5250	stratigraphic inference	failed	not applicable	not applicable	https://doi.org/10.1017/RDC.2023.126		ILLUMINA	WGS	1.64	full-udg	double	https://doi.org/10.1073/pnas.2410235122	ILLUMINA	WGS	not applicable	20.7927	full-udg	double	not applicable	not applicable		Jolijn Erven	yes
Sw2	22410	JE020	SAMEA117479479	petrous part of temporal bone, UBERON:0001694	female	https://doi.org/10.1073/pnas.2410235122	Wild boar/pig	9823	Sus Scrofa	52.5673	5.6411	Netherlands	Swifterbant S3	5350	5450	5250	stratigraphic inference	failed	not applicable	not applicable	https://doi.org/10.1017/RDC.2023.126		ILLUMINA	WGS	0.8	full-udg	double	https://doi.org/10.1073/pnas.2410235122	ILLUMINA	WGS	not applicable	37.6149	full-udg	double	not applicable	not applicable		Jolijn Erven	yes
Sw3	57699	JE027	SAMEA117479480	petrous part of temporal bone, UBERON:0001694	female	https://doi.org/10.1073/pnas.2410235122	Wild boar/pig	9823	Sus Scrofa	52.5673	5.6411	Netherlands	Swifterbant S3	5350	5450	5250	stratigraphic inference	failed	not applicable	not applicable	https://doi.org/10.1017/RDC.2023.126		ILLUMINA	WGS	0.03	full-udg	double	https://doi.org/10.1073/pnas.2410235122	ILLUMINA	WGS	not applicable	25.1538	full-udg	double	not applicable	not applicable		Jolijn Erven	yes
Sch1	V04520BOT	JE032	SAMEA117479481	petrous part of temporal bone, UBERON:0001694	female	https://doi.org/10.1073/pnas.2410235122	Pig	9825	Sus Scrofa	51.983333	4.316667	Netherlands	Schipluiden	4843	4935	4750	stratigraphic inference	failed	not applicable	not applicable	not applicable		ILLUMINA	WGS	6.16	full-udg	double	https://doi.org/10.1073/pnas.2410235122	ILLUMINA	WGS	not applicable	90.3112	full-udg	double	not applicable	not applicable		Jolijn Erven	yes
Sch2	V06234BOT	JE036	SAMEA117479482	petrous part of temporal bone, UBERON:0001694	female	https://doi.org/10.1073/pnas.2410235122	Pig	9825	Sus Scrofa	51.983333	4.316667	Netherlands	Schipluiden	4843	4935	4750	stratigraphic inference	failed	not applicable	not applicable	not applicable		ILLUMINA	WGS	5.39	full-udg	double	https://doi.org/10.1073/pnas.2410235122	ILLUMINA	WGS	not applicable	96.2519	full-udg	double	not applicable	not applicable		Jolijn Erven	yes
Sch3	V07171BOT	JE037	SAMEA117479483	petrous part of temporal bone, UBERON:0001694	female	https://doi.org/10.1073/pnas.2410235122	Pig	9825	Sus Scrofa	51.983333	4.316667	Netherlands	Schipluiden	4843	4935	4750	stratigraphic inference	failed	not applicable	not applicable	not applicable		ILLUMINA	WGS	2.3	full-udg	double	https://doi.org/10.1073/pnas.2410235122	ILLUMINA	WGS	not applicable	50.9479	full-udg	double	not applicable	not applicable		Jolijn Erven	yes
Har4	98POLV022722	JE042	SAMEA117479484	petrous part of temporal bone, UBERON:0001694	female	https://doi.org/10.1073/pnas.2410235122	Wild boar	9823	Sus Scrofa	51.8386	4.8246	Netherlands	Hardinxveld_Polderweg	7150	7300	7000	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1371/journal.pone.0280619		ILLUMINA	WGS	0.06	full-udg	double	https://doi.org/10.1073/pnas.2410235122	ILLUMINA	WGS	not applicable	2.3784	full-udg	double	not applicable	not applicable		Jolijn Erven	yes
