samp_name	source_mat_id	sample_alt_lab_ids	biosamples_accession	tissue_type	molecular_sex	molecular_sex_reference	samp_taxon_common	samp_taxon_ID	specific_host	latitude	longitude	geo_loc_name	site_name	sample_age	sample_age_upper	sample_age_lower	sample_age_inference_methods	c14_age	c14_age_sd	c14_lab_code	sample_age_reference	sample_age_notes	nuclear_sequencing_platform	nuclear_library_strategy	nuclear_depth_of_coverage	nuclear_damage_treatment	nuclear_lib_strandedness	nuclear_reference	mt_sequencing_platform	mt_library_strategy	mt_targeted_region	mt_depth_of_coverage	mt_damage_treatment	mt_lib_strandedness	mt_accession	mt_reference	curator_comments	curated_by	curation_complete
CGG1023664	not applicable	missing	SAMEA115399878	petrous bone, right side	male	https://doi.org/10.1073/pnas.2405993121	beluga	9749	Delphinapterus leucas	missing	missing	Canada	Mackenzie Delta, Cache Point, House 6, NhTs-2-1	582.5	620	545	indirectly dated (radiocarbon dating)	545, 585	20	Keck Carbon Cycle AMS facility at the University of California, Irvine	https://doi.org/10.1073/pnas.2405993121		ILLUMINA	WGS	0.55	not applicable	single	https://doi.org/10.1073/pnas.2405993121	ILLUMINA	WGS	not applicable	221.72	not applicable	single	not applicable	https://doi.org/10.1073/pnas.2405993121	mitochondrial paleogenomic data was not included with a separate accession. Could not find exact latitude and longitude mentioned in original reference. All sample ages were provided as year ranges and multiple indirect radiocarbon dating points were presented for each site, all of which are included here. The original reference mentions DNA damage only in the context of reads that were filtered out after failing quality testing.	George Popovici	yes
CGG1023665	not applicable	2958	SAMEA115399879	petrous bone, right side	female	https://doi.org/10.1073/pnas.2405993121	beluga	9749	Delphinapterus leucas	missing	missing	Canada	Mackenzie Delta, Cache Point, House 6, NhTs-2-2	582.5	620	545	indirectly dated (radiocarbon dating)	545, 585	20	Keck Carbon Cycle AMS facility at the University of California, Irvine	https://doi.org/10.1073/pnas.2405993121		ILLUMINA	Targeted-Capture	0.02	not applicable	single	https://doi.org/10.1073/pnas.2405993121	ILLUMINA	Targeted-Capture	not applicable	127.55	not applicable	single	not applicable	https://doi.org/10.1073/pnas.2405993121	mitochondrial paleogenomic data was not included with a separate accession, ould not find exact latitude and longitude mentioned in original reference. All sample ages were provided as year ranges and multiple indirect radiocarbon dating points were presented for each site, all of which are included here. The original reference mentions DNA damage only in the context of reads that were filtered out after failing quality testing.	George Popovici	yes
CGG1023666	not applicable	2959	SAMEA115399880	petrous bone, right side	female	https://doi.org/10.1073/pnas.2405993121	beluga	9749	Delphinapterus leucas	missing	missing	Canada	Mackenzie Delta, Cache Point, House 6, NhTs-2-3	582.5	620	545	indirectly dated (radiocarbon dating)	545, 585	20	Keck Carbon Cycle AMS facility at the University of California, Irvine	https://doi.org/10.1073/pnas.2405993121		ILLUMINA	Targeted-Capture	0.02	not applicable	single	https://doi.org/10.1073/pnas.2405993121	ILLUMINA	Targeted-Capture	not applicable	105.76	not applicable	single	not applicable	https://doi.org/10.1073/pnas.2405993121	mitochondrial paleogenomic data was not included with a separate accession, ould not find exact latitude and longitude mentioned in original reference. All sample ages were provided as year ranges and multiple indirect radiocarbon dating points were presented for each site, all of which are included here. The original reference mentions DNA damage only in the context of reads that were filtered out after failing quality testing.	George Popovici	yes
CGG1023667	not applicable	2960	SAMEA115399881	petrous bone, right side	male	https://doi.org/10.1073/pnas.2405993121	beluga	9749	Delphinapterus leucas	missing	missing	Canada	Mackenzie Delta, Cache Point, House 6, NhTs-2-4	582.5	620	545	indirectly dated (radiocarbon dating)	545, 585	20	Keck Carbon Cycle AMS facility at the University of California, Irvine	https://doi.org/10.1073/pnas.2405993121		ILLUMINA	WGS	0.02	not applicable	single	https://doi.org/10.1073/pnas.2405993121	ILLUMINA	WGS	not applicable	3.3	not applicable	single	not applicable	https://doi.org/10.1073/pnas.2405993121	mitochondrial paleogenomic data was not included with a separate accession, ould not find exact latitude and longitude mentioned in original reference. All sample ages were provided as year ranges and multiple indirect radiocarbon dating points were presented for each site, all of which are included here. The original reference mentions DNA damage only in the context of reads that were filtered out after failing quality testing.	George Popovici	yes
CGG1023668	not applicable	2961	SAMEA115399882	petrous bone, right side	male	https://doi.org/10.1073/pnas.2405993121	beluga	9749	Delphinapterus leucas	missing	missing	Canada	Mackenzie Delta, Cache Point, House 6, NhTs-2-5	582.5	620	545	indirectly dated (radiocarbon dating)	545, 585	20	Keck Carbon Cycle AMS facility at the University of California, Irvine	https://doi.org/10.1073/pnas.2405993121		ILLUMINA	Targeted-Capture	0.04	not applicable	single	https://doi.org/10.1073/pnas.2405993121	ILLUMINA	Targeted-Capture	not applicable	144.99	not applicable	single	not applicable	https://doi.org/10.1073/pnas.2405993121	mitochondrial paleogenomic data was not included with a separate accession, ould not find exact latitude and longitude mentioned in original reference. All sample ages were provided as year ranges and multiple indirect radiocarbon dating points were presented for each site, all of which are included here. The original reference mentions DNA damage only in the context of reads that were filtered out after failing quality testing.	George Popovici	yes
CGG1023669	not applicable	2962	SAMEA115399883	petrous bone, right side	male	https://doi.org/10.1073/pnas.2405993121	beluga	9749	Delphinapterus leucas	missing	missing	Canada	Mackenzie Delta, Cache Point, House 6, NhTs-2-6	582.5	620	545	indirectly dated (radiocarbon dating)	545, 585	20	Keck Carbon Cycle AMS facility at the University of California, Irvine	https://doi.org/10.1073/pnas.2405993121		ILLUMINA	WGS	0.04	not applicable	single	https://doi.org/10.1073/pnas.2405993121	ILLUMINA	WGS	not applicable	15.95	not applicable	single	not applicable	https://doi.org/10.1073/pnas.2405993121	mitochondrial paleogenomic data was not included with a separate accession, ould not find exact latitude and longitude mentioned in original reference. All sample ages were provided as year ranges and multiple indirect radiocarbon dating points were presented for each site, all of which are included here. The original reference mentions DNA damage only in the context of reads that were filtered out after failing quality testing.	George Popovici	yes
CGG1023670	not applicable	2963	SAMEA115399884	petrous bone, right side	male	https://doi.org/10.1073/pnas.2405993121	beluga	9749	Delphinapterus leucas	missing	missing	Canada	Mackenzie Delta, Cache Point, House 6, NhTs-2-7	582.5	620	545	indirectly dated (radiocarbon dating)	545, 585	20	Keck Carbon Cycle AMS facility at the University of California, Irvine	https://doi.org/10.1073/pnas.2405993121		ILLUMINA	WGS	0.49	not applicable	single	https://doi.org/10.1073/pnas.2405993121	ILLUMINA	WGS	not applicable	194.98	not applicable	single	not applicable	https://doi.org/10.1073/pnas.2405993121	mitochondrial paleogenomic data was not included with a separate accession, ould not find exact latitude and longitude mentioned in original reference. All sample ages were provided as year ranges and multiple indirect radiocarbon dating points were presented for each site, all of which are included here. The original reference mentions DNA damage only in the context of reads that were filtered out after failing quality testing.	George Popovici	yes
CGG1023671	not applicable	2964	SAMEA115399885	petrous bone, right side	male	https://doi.org/10.1073/pnas.2405993121	beluga	9749	Delphinapterus leucas	missing	missing	Canada	Mackenzie Delta, Cache Point, House 6, NhTs-2-8	582.5	620	545	indirectly dated (radiocarbon dating)	545, 585	20	Keck Carbon Cycle AMS facility at the University of California, Irvine	https://doi.org/10.1073/pnas.2405993121		ILLUMINA	WGS	0.13	not applicable	single	https://doi.org/10.1073/pnas.2405993121	ILLUMINA	WGS	not applicable	24.78	not applicable	single	not applicable	https://doi.org/10.1073/pnas.2405993121	mitochondrial paleogenomic data was not included with a separate accession, ould not find exact latitude and longitude mentioned in original reference. All sample ages were provided as year ranges and multiple indirect radiocarbon dating points were presented for each site, all of which are included here. The original reference mentions DNA damage only in the context of reads that were filtered out after failing quality testing.	George Popovici	yes
CGG1023672	not applicable	2965	SAMEA115399886	petrous bone, right side	female	https://doi.org/10.1073/pnas.2405993121	beluga	9749	Delphinapterus leucas	missing	missing	Canada	Mackenzie Delta, Cache Point, House 6, NhTs-2-9	582.5	620	545	indirectly dated (radiocarbon dating)	545, 585	20	Keck Carbon Cycle AMS facility at the University of California, Irvine	https://doi.org/10.1073/pnas.2405993121		ILLUMINA	WGS	0.84	not applicable	single	https://doi.org/10.1073/pnas.2405993121	ILLUMINA	WGS	not applicable	111.13	not applicable	single	not applicable	https://doi.org/10.1073/pnas.2405993121	mitochondrial paleogenomic data was not included with a separate accession, ould not find exact latitude and longitude mentioned in original reference. All sample ages were provided as year ranges and multiple indirect radiocarbon dating points were presented for each site, all of which are included here. The original reference mentions DNA damage only in the context of reads that were filtered out after failing quality testing.	George Popovici	yes
CGG1023673	not applicable	2966	SAMEA115399887	petrous bone, right side	female	https://doi.org/10.1073/pnas.2405993121	beluga	9749	Delphinapterus leucas	missing	missing	Canada	Mackenzie Delta, Cache Point, House 8, NhTs-2-10	582.5	620	545	indirectly dated (radiocarbon dating)	505, 530	20	Keck Carbon Cycle AMS facility at the University of California, Irvine	https://doi.org/10.1073/pnas.2405993121		ILLUMINA	WGS	0.41	not applicable	single	https://doi.org/10.1073/pnas.2405993121	ILLUMINA	WGS	not applicable	72.66	not applicable	single	not applicable	https://doi.org/10.1073/pnas.2405993121	mitochondrial paleogenomic data was not included with a separate accession, ould not find exact latitude and longitude mentioned in original reference. All sample ages were provided as year ranges and multiple indirect radiocarbon dating points were presented for each site, all of which are included here. The original reference mentions DNA damage only in the context of reads that were filtered out after failing quality testing.	George Popovici	yes
