samp_name	source_mat_id	sample_alt_lab_ids	biosamples_accession	tissue_type	molecular_sex	molecular_sex_reference	samp_taxon_common	samp_taxon_ID	specific_host	latitude	longitude	geo_loc_name	site_name	sample_age	sample_age_upper	sample_age_lower	sample_age_inference_methods	c14_age	c14_age_sd	c14_lab_code	sample_age_reference	sample_age_notes	nuclear_sequencing_platform	nuclear_library_strategy	nuclear_depth_of_coverage	nuclear_damage_treatment	nuclear_lib_strandedness	nuclear_reference	mt_sequencing_platform	mt_library_strategy	mt_targeted_region	mt_depth_of_coverage	mt_damage_treatment	mt_lib_strandedness	mt_accession	mt_reference	curator_comments	curated_by	curation_complete
Hxh2	ER97/102 282-94-11	not applicable	SAMEA115574420	petrous part of temporal bone, UBERON:0001706	female	https://doi.org/10.1038/s41586-024-08112-6	Aurochs	9909	Bos primigenius	49.145	8.222	Germany	Herxheim	missing	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Neolithic	ILLUMINA	WGS	22.47	full-udg	double	https://doi.org/10.1038/s41586-024-08112-6	not applicable	not applicable	not applicable	2529.15	full-udg	double	not applicable	https://doi.org/10.1038/s41586-024-08112-6		Jolijn Erven	yes
Gyu1	11139	not applicable	SAMEA115574418	petrous part of temporal bone, UBERON:0001706	male	https://doi.org/10.1038/s41586-024-08112-6	Aurochs	9909	Bos primigenius	41.132	43.871	Armenia	Gyumri district	11990	14023	13789	radiocarbon dating	11990	40	Beta-447490	https://doi.org/10.1038/s41586-024-08112-6		ILLUMINA	WGS	17.65	full-udg	double	https://doi.org/10.1038/s41586-024-08112-6	not applicable	not applicable	not applicable	1393.3	full-udg	double	not applicable	https://doi.org/10.1038/s41586-024-08112-6		Jolijn Erven	yes
Galicia1	CL34/CL69	not applicable	SAMEA115574415	petrous part of temporal bone, UBERON:0001706;humerus, UBERON:0000976	male	https://doi.org/10.1038/s41586-024-08112-6	Aurochs	9909	Bos primigenius	43.072	-8.661	Spain	O Courel, Galicia	8297	9464	9035	radiocarbon dating	8297	59	Ua-38454	https://doi.org/10.1038/s41586-024-08112-6	Mesolithic	ILLUMINA	WGS	14.5	full-udg	double	https://doi.org/10.1038/s41586-024-08112-6	not applicable	not applicable	not applicable	939.13	full-udg	double	not applicable	https://doi.org/10.1038/s41586-024-08112-6		Jolijn Erven	yes
Baikal1	13611	not applicable	SAMEA115574404	petrous part of temporal bone, UBERON:0001706	male	https://doi.org/10.1038/s41586-024-08112-6	Aurochs	9909	Bos primigenius	51.497	104.038	Russia	Barguzin river, Baikal	10320	12455	11941	radiocarbon dating	10320	30	Beta-447489	https://doi.org/10.1038/s41586-024-08112-6		ILLUMINA	WGS	13.92	full-udg	double	https://doi.org/10.1038/s41586-024-08112-6	not applicable	not applicable	not applicable	1697.96	full-udg	double	not applicable	https://doi.org/10.1038/s41586-024-08112-6		Jolijn Erven	yes
Vratsa1	Sivushka	not applicable	SAMEA115574452	petrous part of temporal bone, UBERON:0001706	male	https://doi.org/10.1038/s41586-024-08112-6	Aurochs	9909	Bos primigenius	42.973	24.118	Bulgaria	Vratsa	5266	6184	5932	radiocarbon dating	5266	40	UBA-40952	https://doi.org/10.1038/s41586-024-08112-6	Neolithic	ILLUMINA	WGS	8.45	full-udg	double	https://doi.org/10.1038/s41586-024-08112-6	not applicable	not applicable	not applicable	1036.55	full-udg	double	not applicable	https://doi.org/10.1038/s41586-024-08112-6		Jolijn Erven	yes
Var2	2494/2820	not applicable	SAMEA115574450	petrous part of temporal bone, UBERON:0001706	male	https://doi.org/10.1038/s41586-024-08112-6	Aurochs	9909	Bos primigenius	51.630	49.666	Russia	Varfolomeevka	6335	7412	7164	radiocarbon dating	6335	40	LuS 16917	https://doi.org/10.1038/s41586-024-08112-6		ILLUMINA	WGS	8.25	full-udg	double	https://doi.org/10.1038/s41586-024-08112-6	not applicable	not applicable	not applicable	2469.01	full-udg	double	not applicable	https://doi.org/10.1038/s41586-024-08112-6		Jolijn Erven	yes
YoA	AM112	not applicable	SAMEA115574455	petrous part of temporal bone, UBERON:0001706	female	https://doi.org/10.1038/s41586-024-08112-6	Aurochs	9909	Bos primigenius	54.110	-2.291	United Kingdom	Yorkshire	4179	4835	4584	radiocarbon dating	4179	30	OxA-16206	https://doi.org/10.1038/s41586-024-08112-6	Neolithic	ILLUMINA	WGS	6.28	full-udg	double	https://doi.org/10.1038/s41586-024-08112-6	not applicable	not applicable	not applicable	463.56	full-udg	double	not applicable	https://doi.org/10.1038/s41586-024-08112-6		Jolijn Erven	yes
Var1	2494/2600	not applicable	SAMEA115574449	petrous part of temporal bone, UBERON:0001706	male	https://doi.org/10.1038/s41586-024-08112-6	Aurochs	9909	Bos primigenius	51.630	49.666	Russia	Varfolomeevka	6580	7567	7426	radiocarbon dating	6580	40	LuS 16916	https://doi.org/10.1038/s41586-024-08112-6		ILLUMINA	WGS	4.45	full-udg	double	https://doi.org/10.1038/s41586-024-08112-6	not applicable	not applicable	not applicable	367.71	full-udg	double	not applicable	https://doi.org/10.1038/s41586-024-08112-6		Jolijn Erven	yes
Tula1	TYR1/11159	not applicable	SAMEA115574446	petrous part of temporal bone, UBERON:0001706	male	https://doi.org/10.1038/s41586-024-08112-6	Aurochs	9909	Bos primigenius	54.193	37.605	Russia	Tula district	36800	42386	40672	radiocarbon dating	36800	700	LuS 16918	https://doi.org/10.1038/s41586-024-08112-6		ILLUMINA	WGS	3.47	full-udg	double	https://doi.org/10.1038/s41586-024-08112-6	not applicable	not applicable	not applicable	2443.07	full-udg	double	not applicable	https://doi.org/10.1038/s41586-024-08112-6		Jolijn Erven	yes
Rhi3	Bensheim	not applicable	SAMEA115574435	petrous part of temporal bone, UBERON:0001706	male	https://doi.org/10.1038/s41586-024-08112-6	Aurochs	9909	Bos primigenius	51.619	9.669	Germany	Upper Rhine Valley	missing	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	3.03	full-udg	double	https://doi.org/10.1038/s41586-024-08112-6	not applicable	not applicable	not applicable	1075.22	full-udg	double	not applicable	https://doi.org/10.1038/s41586-024-08112-6		Jolijn Erven	yes
