samp_name	source_mat_id	sample_alt_lab_ids	biosamples_accession	tissue_type	molecular_sex	molecular_sex_reference	samp_taxon_common	samp_taxon_ID	specific_host	latitude	longitude	geo_loc_name	site_name	sample_age	sample_age_upper	sample_age_lower	sample_age_inference_methods	c14_age	c14_age_sd	c14_lab_code	sample_age_reference	sample_age_notes	nuclear_sequencing_platform	nuclear_library_strategy	nuclear_depth_of_coverage	nuclear_damage_treatment	nuclear_lib_strandedness	nuclear_reference	mt_sequencing_platform	mt_library_strategy	mt_targeted_region	mt_depth_of_coverage	mt_damage_treatment	mt_lib_strandedness	mt_accession	mt_reference	curator_comments	curated_by	curation_complete
KIA25456	NMING:F21175	not applicable	missing	phalanx	missing	not applicable	Irish Elk	227166	Megaloceros giganteus	52.099998474121	-7.7166700363159	Waterford;Ireland	Ballynamintra Cave	11567	11525	11609	AMS radiocarbon dating	not applicable 	not applicable 	KIA 25456	DOI: 10.1038/nature04134		not applicable 	not applicable 	not applicable 	not applicable 	not applicable 	not applicable 	missing	missing	cytochrome b; ATPase 8 gene; the control region	missing	missing	missing	AM072745;AM072736;AM072741	DOI: 10.1038/nature04134		Róisín Ferguson	yes
51-2	IPAEE:51-2	not applicable 	missing	Ulna	missing	not applicable	Irish Elk	277166	Megaloceros giganteus	56.80099	62.91138	Western Siberia	Kamyshlov Mire	7065	7027	7103	AMS radiocarbon dating	not applicable 	not applicable 	OxA 13014	DOI: 10.1038/nature04134		not applicable 	not applicable 	not applicable 	not applicable 	not applicable 	not applicable 	missing	missing	cytochrome b; ATPase 8 gene; the control region	missing	missing	missing	AM072744;AM072735;AM072740	DOI: 10.1038/nature04134		Róisín Ferguson	yes
RD14	NMING: F21103	not applicable	missing	Distal humerus	missing 	Not applicable	Reindeer	9870	Rangifer tarandus	52.0994	-7.62526	County Waterford, Ireland	Shandon Cave 	30754.5	30310	31199	AMS radiocarbon dating	not applicable 	not applicable 	OxA-3608	Woodman et al, 1997		missing	missing	missing	missing	missing	missing	Sanger sequencing	missing	control region	missing	missing	missing	JQ599379	doi.org/10.1016/j.quascirev.2012.02.012	haplotypes uploaded to GenBank. Ancient samples grouped in the haplotypes i.e. some will share genbank accession numbers 	Róisín Ferguson	yes
RD25	NMING: F21797	not applicable	missing	Distal tibia	missing 	Not applicable	Reindeer	9870	Rangifer tarandus	52.0994	-7.62526	County Waterford, Ireland	Shandon Cave 	34908	34657	35159	AMS radiocarbon dating	not applicable 	not applicable 	UB-14772	Woodman et al, 1997		missing	missing	missing	missing	missing	missing	Sanger sequencing	missing	control region	missing	missing	missing	JQ599380	doi.org/10.1016/j.quascirev.2012.02.012	haplotypes uploaded to GenBank. Ancient samples grouped in the haplotypes i.e. some will share genbank accession numbers 	Róisín Ferguson	yes
RD06	NMING: F21791	not applicable	missing	astragalus	missing 	Not applicable	Reindeer	9870	Rangifer tarandus	52.0994	-7.62526	County Waterford, Ireland	Shandon Cave 	37583	36787	38379	AMS radiocarbon dating	not applicable 	not applicable 	UBA-10546	Woodman et al, 1997		missing	missing	missing	missing	missing	missing	Sanger sequencing	missing	control region	missing	missing	missing	JQ599378	doi.org/10.1016/j.quascirev.2012.02.012	haplotypes uploaded to GenBank. Ancient samples grouped in the haplotypes i.e. some will share genbank accession numbers 	Róisín Ferguson	yes
I2	missing	not applicable	missing	phalanx	missing 	Not applicable	Red Deer	9860	Cervus elaphus	39.18	8.49	"
Sulcis, Sardinia"	Monte Sirai,	2585	2435	2720		2478	27	GdA-4401 	https://doi.org/10.1038/s41598-017-02359-y		missing	missing	missing	missing	missing	missing	ILLUMINA	Double stranded	cytochrome B 	cytochrome B 	cytochrome B 	cytochrome B 	KY313796	https://doi.org/10.1038/s41598-017-02359-y			
I3	missing	not applicable	missing	phalanx	missing 	Not applicable	Red Deer	9860	Cervus elaphus	40.49	8.77	 Sardinia	Nuraghe Santu Antine,	missing	missing	missing		missing	missing	missing	https://doi.org/10.1038/s41598-017-02359-y		missing	missing	missing	missing	missing	missing	ILLUMINA	Double stranded	cytochrome B 	cytochrome B 	cytochrome B 	cytochrome B 	KY313797	https://doi.org/10.1038/s41598-017-02359-y			
I4	missing	not applicable	missing	ulna proximal	missing 	Not applicable	Red Deer	9860	Cervus elaphus	40.64	8.26	"
Sardinia"	Flumenelongu,	1470	1410	1545		1595	27	GdA-4394	https://doi.org/10.1038/s41598-017-02359-y		missing	missing	missing	missing	missing	missing	ILLUMINA	Double stranded	cytochrome B 	cytochrome B 	cytochrome B 	cytochrome B 	KY313798	https://doi.org/10.1038/s41598-017-02359-y			
I10	missing	not applicable	missing	scaphocuboid	missing 	Not applicable	Red Deer	9860	Cervus elaphus	40.56	8.17	 Alghero, Sardinia	Grotta Verde,	2240	2160	2350		2262	30	GdA-4214	https://doi.org/10.1038/s41598-017-02359-y		missing	missing	missing	missing	missing	missing	ILLUMINA	Double stranded	cytochrome B 	cytochrome B 	cytochrome B 	cytochrome B 	KY313799	https://doi.org/10.1038/s41598-017-02359-y			
I12	missing	not applicable	missing	1 phalanx	missing 	Not applicable	Red Deer	9860	Cervus elaphus	40.64	8.26	Nuraghe Flumenelongu, Sardinia		1485	1410	1555		1608	29	GdA-4400	https://doi.org/10.1038/s41598-017-02359-y		missing	missing	missing	missing	missing	missing	ILLUMINA	Double stranded	cytochrome B 	cytochrome B 	cytochrome B 	cytochrome B 	KY313800	https://doi.org/10.1038/s41598-017-02359-y			
I14	missing	not applicable	missing	metatarsus diaphysis	missing 	Not applicable	Red Deer	9860	Cervus elaphus	40.56	8.35	Pozzo sacro La Purissima, Sardinia		1600	1540	1695		1697	27	GdA-4396	https://doi.org/10.1038/s41598-017-02359-y		missing	missing	missing	missing	missing	missing	ILLUMINA	Double stranded	cytochrome B 	cytochrome B 	cytochrome B 	cytochrome B 	KY313801	https://doi.org/10.1038/s41598-017-02359-y			
I17	missing	not applicable	missing	left alisphenoid	missing 	Not applicable	Red Deer	9860	Cervus elaphus	41.48	9.14	Corsica	Bufua site (Figari, Corsedu-Sud), 	450	320	500		375	25	GdA-4219	https://doi.org/10.1038/s41598-017-02359-y		missing	missing	missing	missing	missing	missing	ILLUMINA	Double stranded	cytochrome B 	cytochrome B 	cytochrome B 	cytochrome B 	KY313802	https://doi.org/10.1038/s41598-017-02359-y			
I19	missing	not applicable	missing	2 phalanx	missing 	Not applicable	Red Deer	9860	Cervus elaphus	39.18	8.49	 Sulcis, Sardinia	Monte Sirai,	2585	2380	2720		2477	29	GdA-4216	https://doi.org/10.1038/s41598-017-02359-y		missing	missing	missing	missing	missing	missing	ILLUMINA	Double stranded	cytochrome B 	cytochrome B 	cytochrome B 	cytochrome B 	KY313803	https://doi.org/10.1038/s41598-017-02359-y			
I20	missing	not applicable	missing	metatarsus proximal 	missing 	Not applicable	Red Deer	9860	Cervus elaphus	40.61	8.21	 Sardinia	Sant'Imbenia village,	missing	missing	missing		missing	missing	missing	https://doi.org/10.1038/s41598-017-02359-y		missing	missing	missing	missing	missing	missing	ILLUMINA	Double stranded	cytochrome B 	cytochrome B 	cytochrome B 	cytochrome B 	KY313804	https://doi.org/10.1038/s41598-017-02359-y			
I21	missing	not applicable	missing	metatarsus proximal 	missing 	Not applicable	Red Deer	9860	Cervus elaphus	40.65	8.38	 Sardinia	Roman villa nur.Talia,	2240	2120	2310		2179	27	GdA-4392	https://doi.org/10.1038/s41598-017-02359-y		missing	missing	missing	missing	missing	missing	ILLUMINA	Double stranded	cytochrome B 	cytochrome B 	cytochrome B 	cytochrome B 	KY313805	https://doi.org/10.1038/s41598-017-02359-y			
I22	missing	not applicable	missing	metatarsus distal	missing 	Not applicable	Red Deer	9860	Cervus elaphus	40.64	8.26	 Sardinia	Nuraghe Flumenelongu,	missing	missing	missing		missing	missing	missing	https://doi.org/10.1038/s41598-017-02359-y		missing	missing	missing	missing	missing	missing	ILLUMINA	Double stranded	cytochrome B 	cytochrome B 	cytochrome B 	cytochrome B 	KY313806	https://doi.org/10.1038/s41598-017-02359-y			
I25	missing	not applicable	missing	1 phalanx	missing 	Not applicable	Red Deer	9860	Cervus elaphus	40.56	8.35	 Sardinia	Pozzo sacro La Purissima,	1530	1415	1600		1627	27	GdA-4217 	https://doi.org/10.1038/s41598-017-02359-y		missing	missing	missing	missing	missing	missing	ILLUMINA	Double stranded	cytochrome B 	cytochrome B 	cytochrome B 	cytochrome B 	KY313807	https://doi.org/10.1038/s41598-017-02359-y			
I27	missing	not applicable	missing	fermur proximal	missing 	Not applicable	Red Deer	9860	Cervus elaphus	40.61	8.21	 Sardinia	Sant'Imbenia village,	2235	2150	2320		2204	28	GdA-4399	https://doi.org/10.1038/s41598-017-02359-y		missing	missing	missing	missing	missing	missing	ILLUMINA	Double stranded	cytochrome B 	cytochrome B 	cytochrome B 	cytochrome B 	KY313808	https://doi.org/10.1038/s41598-017-02359-y			
I28	missing	not applicable	missing	diaphyses fragment of left tibia	missing 	Not applicable	Red Deer	9860	Cervus elaphus	41.48	9.14	Corsica	Bufua site (Figari, Corsedu-Sud)	855	770	920		918	25	GdA-4220	https://doi.org/10.1038/s41598-017-02359-y		missing	missing	missing	missing	missing	missing	ILLUMINA	Double stranded	cytochrome B 	cytochrome B 	cytochrome B 	cytochrome B 	KY313809	https://doi.org/10.1038/s41598-017-02359-y			
I31	missing	not applicable	missing	calcaneus	missing 	Not applicable	Red Deer	9860	Cervus elaphus	39.18	8.49	Sulcis, Sardinia	Monte Sirai,	2440	2350	2695		2419	28	GdA-4403	https://doi.org/10.1038/s41598-017-02359-y		missing	missing	missing	missing	missing	missing	ILLUMINA	Double stranded	cytochrome B 	cytochrome B 	cytochrome B 	cytochrome B 	KY313810	https://doi.org/10.1038/s41598-017-02359-y			
I34	missing	not applicable	missing	coxale	missing 	Not applicable	Red Deer	9860	Cervus elaphus	40.87	8.63	Sardinia	Village Santa Filitica, 	1215	1080	1275		1251	26	GdA-4218	https://doi.org/10.1038/s41598-017-02359-y		missing	missing	missing	missing	missing	missing	ILLUMINA	Double stranded	cytochrome B 	cytochrome B 	cytochrome B 	cytochrome B 	KY313811	https://doi.org/10.1038/s41598-017-02359-y			
I39	missing	not applicable	missing	femur	missing 	Not applicable	Red Deer	9860	Cervus elaphus	40.65	8.38	Olmedo, Sardinia	Nuraghe Talia, 	2230	2150	2335		2234	28	GdA-4393	https://doi.org/10.1038/s41598-017-02359-y		missing	missing	missing	missing	missing	missing	ILLUMINA	Double stranded	cytochrome B 	cytochrome B 	cytochrome B 	cytochrome B 	KY313812	https://doi.org/10.1038/s41598-017-02359-y			
I40	missing	not applicable	missing	phalanx	missing 	Not applicable	Red Deer	9860	Cervus elaphus	39.18	8.49	 Sulcis, Sardinia	Monte Sirai,	missing	missing	missing		missing	missing	missing	https://doi.org/10.1038/s41598-017-02359-y		missing	missing	missing	missing	missing	missing	ILLUMINA	Double stranded	cytochrome B 	cytochrome B 	cytochrome B 	cytochrome B 	KY313813	https://doi.org/10.1038/s41598-017-02359-y			
