samp_name	source_mat_id	sample_alt_lab_ids	biosamples_accession	tissue_type	molecular_sex	molecular_sex_reference	samp_taxon_common	samp_taxon_ID	specific_host	latitude	longitude	geo_loc_name	site_name	sample_age	sample_age_upper	sample_age_lower	sample_age_inference_methods	c14_age	c14_age_sd	c14_lab_code	sample_age_reference	sample_age_notes	nuclear_sequencing_platform	nuclear_library_strategy	nuclear_depth_of_coverage	nuclear_damage_treatment	nuclear_lib_strandedness	nuclear_reference	mt_sequencing_platform	mt_library_strategy	mt_targeted_region	mt_depth_of_coverage	mt_damage_treatment	mt_lib_strandedness	mt_accession	mt_reference	curator_comments	curated_by	curation_complete
BCD-01	BMNH 1908.5.30.32	Pigeon_32	SAMEA115076555	skin, UBERON:0001253	female	https://doi.org/10.25226/bboc.v144i4.2024.a6	Burmese Collared Dove	177147	Streptopelia decaocto xanthocycla	missing	missing	Myanmar	Monywa District	45	not applicable	not applicable	historical records	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	3.871769394	none	double	https://doi.org/10.25226/bboc.v144i4.2024.a6	not applicable	not applicable	not applicable	363.7863636	not applicable	not applicable	not applicable	not applicable	The subspecies xanthocycla is commonly regarded as a distinct species, S. xanthocycla	Germán Hernández-Alonso	yes
BCD-02	BMNH 1948.80.3335	Pigeon_35	SAMEA115076556	skin, UBERON:0001253	male	https://doi.org/10.25226/bboc.v144i4.2024.a6	Burmese Collared Dove	177147	Streptopelia decaocto xanthocycla	missing	missing	Myanmar	Meiktila District	14	not applicable	not applicable	historical records	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	6.418681026	none	double	https://doi.org/10.25226/bboc.v144i4.2024.a6	not applicable	not applicable	not applicable	409.6052448	not applicable	not applicable	not applicable	not applicable	The subspecies xanthocycla is commonly regarded as a distinct species, S. xanthocycla	Germán Hernández-Alonso	yes
BCD-03	BMNH 1948.80.3340	Pigeon_40	SAMEA115076557	skin, UBERON:0001253	male	https://doi.org/10.25226/bboc.v144i4.2024.a6	Burmese Collared Dove	177147	Streptopelia decaocto xanthocycla	missing	missing	Myanmar	Swebo District	18	not applicable	not applicable	historical records	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	5.708963912	none	double	https://doi.org/10.25226/bboc.v144i4.2024.a6	not applicable	not applicable	not applicable	498.8541958	not applicable	not applicable	not applicable	not applicable	The subspecies xanthocycla is commonly regarded as a distinct species, S. xanthocycla	Germán Hernández-Alonso	yes
D1	NHMUK 1889.2.2.1485	D01	SAMEA112955376	skin, UBERON:0001253	missing	not applicable	Eurasian Collared Dove	177147	Streptopelia decaocto	26.505042	73.915162	India	Rajasthan 	79	not applicable	not applicable	historical records	not applicable	not applicable	not applicable	not applicable		BGISEQ	WGS	3.26	none	single	https://doi.org/10.25226/bboc.v143i2.2023.a3	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Approximate coordinates using Google Maps	Germán Hernández-Alonso	yes
D2	NHMUK 1889.2.2.1407	D02	SAMEA112955377	skin, UBERON:0001253	missing	not applicable	Eurasian Collared Dove	177147	Streptopelia decaocto	26.505042	73.915162	India	Rajasthan 	75	not applicable	not applicable	historical records	not applicable	not applicable	not applicable	not applicable		BGISEQ	WGS	2.17	none	single	https://doi.org/10.25226/bboc.v143i2.2023.a3	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Approximate coordinates using Google MapsApproximate coordinates using Google Maps	Germán Hernández-Alonso	yes
D3	NHMUK 1889.2.2.1505	D03	SAMEA112955378	skin, UBERON:0001253	missing	not applicable	Eurasian Collared Dove	177147	Streptopelia decaocto	30.877446	75.47949	India	Punjap 	75	not applicable	not applicable	historical records	not applicable	not applicable	not applicable	not applicable		BGISEQ	WGS	2.33	none	single	https://doi.org/10.25226/bboc.v143i2.2023.a3	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Approximate coordinates using Google Maps	Germán Hernández-Alonso	yes
D4	NHMUK 1977.25.4	D04	SAMEA112955379	skin, UBERON:0001253	missing	not applicable	Eurasian Collared Dove	177147	Streptopelia decaocto	23.613889	58.592222	Oman	missing	-27	not applicable	not applicable	historical records	not applicable	not applicable	not applicable	not applicable		BGISEQ	WGS	3.58	none	single	https://doi.org/10.25226/bboc.v143i2.2023.a3	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Approximate coordinates using Google Maps	Germán Hernández-Alonso	yes
D5	NHMUK 1975.8.4	D05	SAMEA112955380	skin, UBERON:0001253	missing	not applicable	Eurasian Collared Dove	177147	Streptopelia decaocto	23.41465	57.279406	Oman	Rostaq	-27	not applicable	not applicable	historical records	not applicable	not applicable	not applicable	not applicable		BGISEQ	WGS	2.97	none	single	https://doi.org/10.25226/bboc.v143i2.2023.a3	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Approximate coordinates using Google Maps	Germán Hernández-Alonso	yes
D6	NHMUK 1978.7.2	D06	SAMEA112955381	skin, UBERON:0001253	missing	not applicable	Eurasian Collared Dove	177147	Streptopelia decaocto	26.232663	50.08736	Saudi Arabia	Imhoff	-28	not applicable	not applicable	historical records	not applicable	not applicable	not applicable	not applicable		BGISEQ	WGS	4.09	none	single	https://doi.org/10.25226/bboc.v143i2.2023.a3	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Approximate coordinates using Google Maps	Germán Hernández-Alonso	yes
D22	NHMUK 1965.M.4694	D22	SAMEA112955382	skin, UBERON:0001253	missing	not applicable	Eurasian Collared Dove	177147	Streptopelia decaocto	31.952162	35.233154	Israel	Bir Salem	32	not applicable	not applicable	historical records	not applicable	not applicable	not applicable	not applicable		BGISEQ	WGS	3.33	none	single	https://doi.org/10.25226/bboc.v143i2.2023.a3	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Approximate coordinates using Google Maps	Germán Hernández-Alonso	yes
