samp_name	source_mat_id	sample_alt_lab_ids	biosamples_accession	tissue_type	molecular_sex	molecular_sex_reference	samp_taxon_common	samp_taxon_ID	specific_host	latitude	longitude	geo_loc_name	site_name	sample_age	sample_age_upper	sample_age_lower	sample_age_inference_methods	c14_age	c14_age_sd	c14_lab_code	sample_age_reference	sample_age_notes	nuclear_sequencing_platform	nuclear_library_strategy	nuclear_depth_of_coverage	nuclear_damage_treatment	nuclear_lib_strandedness	nuclear_reference	mt_sequencing_platform	mt_library_strategy	mt_targeted_region	mt_depth_of_coverage	mt_damage_treatment	mt_lib_strandedness	mt_accession	mt_reference	curator_comments	curated_by	curation_complete
10235	MKh-O621	TB125					Woolly Mammoth	37349.0	Mammuthus primigenius																										KX176795	https://doi.org/10.1038/srep44585 		Deon de Jager	no
10236	MKh-O422	TB128					Woolly Mammoth	37349.0	Mammuthus primigenius																										KX176796	https://doi.org/10.1038/srep44585 		Deon de Jager	no
10244	Mkh-O433	TB89					Woolly Mammoth	37349.0	Mammuthus primigenius																										KX176797	https://doi.org/10.1038/srep44585 		Deon de Jager	no
10247	MKh-O429	TB75					Woolly Mammoth	37349.0	Mammuthus primigenius																										KX176798	https://doi.org/10.1038/srep44585 		Deon de Jager	no
10261	MKh-O533	TB201					Woolly Mammoth	37349.0	Mammuthus primigenius																										KX176799	https://doi.org/10.1038/srep44585 		Deon de Jager	no
10264	MKh-O381	TB126					Woolly Mammoth	37349.0	Mammuthus primigenius																										KX176800	https://doi.org/10.1038/srep44585 		Deon de Jager	no
10643	MKh-O533 / ILC.08(10643)	TB188					Woolly Mammoth	37349.0	Mammuthus primigenius																										KX176750	https://doi.org/10.1038/srep44585 		Deon de Jager	no
10659	BL-O865	TB78					Woolly Mammoth	37349.0	Mammuthus primigenius																										KX176801	https://doi.org/10.1038/srep44585 		Deon de Jager	no
10703	BL-O585	TB77					Woolly Mammoth	37349.0	Mammuthus primigenius																										KX176802	https://doi.org/10.1038/srep44585 		Deon de Jager	no
10717	BL-O308	TB94					Woolly Mammoth	37349.0	Mammuthus primigenius																										KX176751	https://doi.org/10.1038/srep44585 		Deon de Jager	no
10719	Nag-99-O203	TB95					Woolly Mammoth	37349.0	Mammuthus primigenius																										KX176752	https://doi.org/10.1038/srep44585 		Deon de Jager	no
11028	ILC.04(11028)	TB181					Woolly Mammoth	37349.0	Mammuthus primigenius																										KX176803	https://doi.org/10.1038/srep44585 		Deon de Jager	no
2006-001-2	Oimyakon	Oim44.2K	SAMEA3340290	Soft Tissue (add UBERON)	male	https://doi.org/10.1016/j.cub.2015.04.007	Woolly Mammoth	37349.0	Mammuthus primigenius	63.5	142.75	Russia:Oimiakon District, Yakutia	Ol’chan mine	44828	48045	42753	radiocarbon dating	41300	900	GrA-30727	https://doi.org/10.1134/S0031030113040096;https://doi.org/10.1016/j.cub.2015.04.007		ILLUMINA	WGS		full-udg	double	https://doi.org/10.1016/j.cub.2015.04.007	ILLUMINA	WGS	complete	missing	full-udg	double	KX027533;MG334282	https://doi.org/10.3389/fevo.2016.00042;https://doi.org/10.1002/evl3.33		Marianne Dehasque;Deon de Jager;Hannah Moots	no
ADNA_100098	not applicable	not applicable	SAMN16078402;SAMN16078403;SAMN16078404	molar tooth, UBERON:0003655	female	https://doi.org/10.1038/s41598-020-75323-y	African Forest Elephant	99490.0	Loxodonta cyclotis	37.726598	-8.774564	Portugal	Close to the mouth of the Mira River, located at the SW coast of Portugal, Vila Nova de Milfontes town	-6	-6	-7	radiocarbon dating	230	30	missing	https://doi.org/10.1038/s41598-020-75323-y		ILLUMINA	WGS	missing	none	double	https://doi.org/10.1038/s41598-020-75323-y	ILLUMINA	WGS	complete	missing	none	double	MW006629	https://doi.org/10.1038/s41598-020-75323-y		Nikolaos Psonis	yes
AlexKrimf		SPKrim					Woolly Mammoth	37349.0	Mammuthus primigenius																										KX176785	https://doi.org/10.1038/srep44585 		Deon de Jager	no
