samp_name	biosamples_accession	sample_alt_lab_ids	source_mat_id	tissue_type	molecular_sex	molecular_sex_reference	samp_taxon_common	samp_taxon_ID	specific_host	latitude	longitude	geo_loc_name	site_name	sample_age	sample_age_upper	sample_age_lower	sample_age_inference_methods	c14_age	c14_age_sd	c14_lab_code	sample_age_reference	sample_age_notes	nuclear_sequencing_platform	nuclear_library_strategy	nuclear_depth_of_coverage	nuclear_damage_treatment	nuclear_lib_strandedness	nuclear_reference	mt_sequencing_platform	mt_library_strategy	mt_targeted_region	mt_depth_of_coverage	mt_damage_treatment	mt_lib_strandedness	mt_accession	mt_reference	curator_comments	curated_by	curation_complete
LOEB5				calcareous tooth, UBERON:0001091	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	47.336525	18.940271	Hungary	Százhalombatta-Földvár	3400	3450	3350	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	missing	none	double	not applicable	not applicable	not applicable	complete	1.7	none	not applicable	MN366393	https://doi.org/10.1007/s12520-019-00856-x		Laura; Dani Kitaygorodskiy	
LOEB6				calcareous tooth, UBERON:0001091	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	47.336525	18.940271	Hungary	Százhalombatta-Földvár	3400	3450	3350	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	missing	none	double	not applicable	not applicable	not applicable	complete	14.4	none	not applicable	MN366394	https://doi.org/10.1007/s12520-019-00856-x		Laura; Dani Kitaygorodskiy	
LOEB7				calcareous tooth, UBERON:0001091	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	47.336525	18.940271	Hungary	Százhalombatta-Földvár	3400	3450	3350	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	missing	none	double	not applicable	not applicable	not applicable	complete	2.1	none	not applicable	MN366395	https://doi.org/10.1007/s12520-019-00856-x		Laura; Dani Kitaygorodskiy	
LOEB8				calcareous tooth, UBERON:0001091	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	47.336525	18.940271	Hungary	Százhalombatta-Földvár	3400	3450	3350	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	missing	none	double	not applicable	not applicable	not applicable	complete	10.7	none	not applicable	MN366396	https://doi.org/10.1007/s12520-019-00856-x		Laura; Dani Kitaygorodskiy	
DSQS1				missing	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	42.05249	118.662436	China	Dashanqian	3750	4000	3500	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region (D-loop)	not applicable	none	not applicable	-	https://doi.org/10.1007/s41826-018-0018-z		Laura; Dani Kitaygorodskiy	
DSQS2				missing	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	42.05249	118.662436	China	Dashanqian	3750	4000	3500	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region (D-loop)	not applicable	none	not applicable	-	https://doi.org/10.1007/s41826-018-0018-z		Laura; Dani Kitaygorodskiy	
DSQS3				missing	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	42.05249	118.662436	China	Dashanqian	3750	4000	3500	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region (D-loop)	not applicable	none	not applicable	-	https://doi.org/10.1007/s41826-018-0018-z		Laura; Dani Kitaygorodskiy	
DSQS4				missing	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	42.05249	118.662436	China	Dashanqian	3750	4000	3500	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region (D-loop)	not applicable	none	not applicable	-	https://doi.org/10.1007/s41826-018-0018-z		Laura; Dani Kitaygorodskiy	
DSQS5				missing	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	42.05249	118.662436	China	Dashanqian	3750	4000	3500	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region (D-loop)	not applicable	none	not applicable	-	https://doi.org/10.1007/s41826-018-0018-z		Laura; Dani Kitaygorodskiy	
DSQS6				missing	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	42.05249	118.662436	China	Dashanqian	3750	4000	3500	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region (D-loop)	not applicable	none	not applicable	-	https://doi.org/10.1007/s41826-018-0018-z		Laura; Dani Kitaygorodskiy	
SM12S				missing	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	38.5657	110.3252	China	Shimao	4050	4300	3800	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region (D-loop)	not applicable	none	not applicable	-	https://doi.org/10.1007/s41826-018-0018-z		Laura; Dani Kitaygorodskiy	
SM13S				missing	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	38.5657	110.3252	China	Shimao	4050	4300	3800	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region (D-loop)	not applicable	none	not applicable	-	https://doi.org/10.1007/s41826-018-0018-z		Laura; Dani Kitaygorodskiy	
SM14S				missing	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	38.5657	110.3252	China	Shimao	4050	4300	3800	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region (D-loop)	not applicable	none	not applicable	-	https://doi.org/10.1007/s41826-018-0018-z		Laura; Dani Kitaygorodskiy	
SM15S				missing	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	38.5657	110.3252	China	Shimao	4050	4300	3800	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region (D-loop)	not applicable	none	not applicable	-	https://doi.org/10.1007/s41826-018-0018-z		Laura; Dani Kitaygorodskiy	
SM17S				missing	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	38.5657	110.3252	China	Shimao	4050	4300	3800	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region (D-loop)	not applicable	none	not applicable	-	https://doi.org/10.1007/s41826-018-0018-z		Laura; Dani Kitaygorodskiy	
SM18S				missing	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	38.5657	110.3252	China	Shimao	4050	4300	3800	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region (D-loop)	not applicable	none	not applicable	-	https://doi.org/10.1007/s41826-018-0018-z		Laura; Dani Kitaygorodskiy	
SM19S				missing	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	38.5657	110.3252	China	Shimao	4050	4300	3800	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region (D-loop)	not applicable	none	not applicable	-	https://doi.org/10.1007/s41826-018-0018-z		Laura; Dani Kitaygorodskiy	
TS01				missing	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	35.890603	111.497172	China	Taosi	4050	4250	3850	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region (D-loop)	not applicable	none	not applicable	-	https://doi.org/10.1007/s41826-018-0018-z		Laura; Dani Kitaygorodskiy	
KKO182009				calcareous tooth, UBERON:0001091	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	50.669998	85.809997	Russia	Nizhnyaya Sooru	5095.5	5296	4895	radiocarbon dating	4460	40	Poz-113280	https://doi.org/10.1016/j.ara.2020.100232		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	cytochrome b	not applicable	none	not applicable	MN794058	https://doi.org/10.1016/j.ara.2020.100232		Laura; Dani Kitaygorodskiy	
KKO182010				calcareous tooth, UBERON:0001091	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	50.669998	85.809997	Russia	Nizhnyaya Sooru	5050	5250	4850	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	cytochrome b	not applicable	none	not applicable	MN794057	https://doi.org/10.1016/j.ara.2020.100232		Laura; Dani Kitaygorodskiy	
KKO182011				calcareous tooth, UBERON:0001091	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	50.669998	85.809997	Russia	Nizhnyaya Sooru	5050	5250	4850	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	cytochrome b	not applicable	none	not applicable	MN794056	https://doi.org/10.1016/j.ara.2020.100232		Laura; Dani Kitaygorodskiy	
KKO182012				calcareous tooth, UBERON:0001091	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	50.669998	85.809997	Russia	Nizhnyaya Sooru	5050	5250	4850	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	cytochrome b	not applicable	none	not applicable	MN794055	https://doi.org/10.1016/j.ara.2020.100232		Laura; Dani Kitaygorodskiy	
KKO182013				calcareous tooth, UBERON:0001091	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	50.669998	85.809997	Russia	Nizhnyaya Sooru	4932	5031	4833	radiocarbon dating	4320	40	Poz-113281	https://doi.org/10.1016/j.ara.2020.100232		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	cytochrome b	not applicable	none	not applicable	MN794054	https://doi.org/10.1016/j.ara.2020.100232		Laura; Dani Kitaygorodskiy	
4Q405-518										31.739338	35.459531	Israel	Qumran Cave 4	2050	2250	1850							not applicable	not applicable	not applicable	not applicable	not applicable	not applicable							SRX4334367; SRX4334368; SRX4334456; SRX4334457; SRX4334458; SRX4334459; SRX4334460; SRX4334461; SRX4334462; SRX4334463; SRX4334464; SRX4334465	https://doi.org/10.1016/j.cell.2020.04.046		Laura; Dani Kitaygorodskiy	
4Q57 frg. 12										31.739338	35.459531	Israel	Qumran Cave 4	2050	2250	1850							not applicable	not applicable	not applicable	not applicable	not applicable	not applicable							SRX4334421; SRX4334422; SRX4334425	https://doi.org/10.1016/j.cell.2020.04.046		Laura; Dani Kitaygorodskiy	
4Q59 frg. 25										31.739338	35.459531	Israel	Qumran Cave 4	2050	2250	1850							not applicable	not applicable	not applicable	not applicable	not applicable	not applicable							SRX4334365; SRX4334366; SRX4334379	https://doi.org/10.1016/j.cell.2020.04.046		Laura; Dani Kitaygorodskiy	
Garment-99-9035										31.430505	35.347565	Israel	Nahal Hever, Cave of Letters	2050	2250	1850							not applicable	not applicable	not applicable	not applicable	not applicable	not applicable							SRX4334401	https://doi.org/10.1016/j.cell.2020.04.046		Laura; Dani Kitaygorodskiy	
Hev/Se6										31.440015	35.284442	Israel	Nahal Hever/Nahal Se’elim	2050	2250	1850							not applicable	not applicable	not applicable	not applicable	not applicable	not applicable							SRX4334378; SRX4334403; SRX4334404	https://doi.org/10.1016/j.cell.2020.04.046		Laura; Dani Kitaygorodskiy	
Mas1k										31.30723	35.363886	Israel	Masada	2050	2250	1850							not applicable	not applicable	not applicable	not applicable	not applicable	not applicable							SRX4334339; SRX4334340; SRX4334341; SRX4334342; SRX4334344; SRX4334426; SRX4334429	https://doi.org/10.1016/j.cell.2020.04.046		Laura; Dani Kitaygorodskiy	
Unknown-001										31.739338	35.459531	Israel	Unknown	2050	2250	1850							not applicable	not applicable	not applicable	not applicable	not applicable	not applicable							SRX4334350; SRX4334351; SRX4334352; SRX4334353; SRX4334354; SRX4334355; SRX4334356; SRX4334357; SRX4334358; SRX4334446; SRX4334447; SRX4334448; SRX4334449; SRX4334450; SRX4334451; SRX4334452; SRX4334453; SRX4334454; SRX4334455	https://doi.org/10.1016/j.cell.2020.04.046		Laura; Dani Kitaygorodskiy	
Unknown-002										31.739338	35.459531	Israel	Unknown	2050	2250	1850							not applicable	not applicable	not applicable	not applicable	not applicable	not applicable							SRX4334349; SRX4334389; SRX4334390; SRX4334391; SRX4334392; SRX4334393; SRX4334394; SRX4334395; SRX4334396; SRX4334407; SRX4334408; SRX4334409; SRX4334410; SRX4334411; SRX4334412; SRX4334413; SRX4334414; SRX4334415; SRX4334416	https://doi.org/10.1016/j.cell.2020.04.046		Laura; Dani Kitaygorodskiy	
Unknown-003										31.739338	35.459531	Israel	Unknown	2050	2250	1850							not applicable	not applicable	not applicable	not applicable	not applicable	not applicable							SRX4334387; SRX4334388; SRX4334435; SRX4334437; SRX4334438; SRX4334439; SRX4334440; SRX4334441; SRX4334442; SRX4334443; SRX4334470; SRX4334471	https://doi.org/10.1016/j.cell.2020.04.046		Laura; Dani Kitaygorodskiy	
Water Skin (4 or 7)										31.739338	35.459531	Israel	Water Skin	2050	2250	1850							not applicable	not applicable	not applicable	not applicable	not applicable	not applicable							SRX4334405	https://doi.org/10.1016/j.cell.2020.04.046		Laura; Dani Kitaygorodskiy	
KNT-1				calcareous tooth, UBERON:0001091	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	49.2	75.933333	Kazakhstan	Kent	3050	3250	2850	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY?	AMPLICON	control region	not applicable	full-udg	not applicable	MZ848101	https://doi.org/10.1016/j.heliyon.2021.e08011		Laura; Dani Kitaygorodskiy	
KNT-10				calcareous tooth, UBERON:0001091	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	49.2	75.933333	Kazakhstan	Kent	3050	3250	2850	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	not applicable	full-udg	not applicable	MZ848105	https://doi.org/10.1016/j.heliyon.2021.e08011		Laura; Dani Kitaygorodskiy	
KNT-11				calcareous tooth, UBERON:0001091	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	49.2	75.933333	Kazakhstan	Kent	3050	3250	2850	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	not applicable	full-udg	not applicable	MZ848106	https://doi.org/10.1016/j.heliyon.2021.e08011		Laura; Dani Kitaygorodskiy	
KNT-12				calcareous tooth, UBERON:0001091	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	49.2	75.933333	Kazakhstan	Kent	3050	3250	2850	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	not applicable	full-udg	not applicable	MZ848107	https://doi.org/10.1016/j.heliyon.2021.e08011		Laura; Dani Kitaygorodskiy	
KNT-14				calcareous tooth, UBERON:0001091	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	49.2	75.933333	Kazakhstan	Kent	3050	3250	2850	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	not applicable	full-udg	not applicable	MZ848108	https://doi.org/10.1016/j.heliyon.2021.e08011		Laura; Dani Kitaygorodskiy	
KNT-16				calcareous tooth, UBERON:0001091	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	49.2	75.933333	Kazakhstan	Kent	3050	3250	2850	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	not applicable	full-udg	not applicable	MZ848109	https://doi.org/10.1016/j.heliyon.2021.e08011		Laura; Dani Kitaygorodskiy	
KNT-17				calcareous tooth, UBERON:0001091	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	49.2	75.933333	Kazakhstan	Kent	3050	3250	2850	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	not applicable	full-udg	not applicable	MZ848110	https://doi.org/10.1016/j.heliyon.2021.e08011		Laura; Dani Kitaygorodskiy	
KNT-19				calcareous tooth, UBERON:0001091	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	49.2	75.933333	Kazakhstan	Kent	3050	3250	2850	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	not applicable	full-udg	not applicable	MZ848111	https://doi.org/10.1016/j.heliyon.2021.e08011		Laura; Dani Kitaygorodskiy	
KNT-20				calcareous tooth, UBERON:0001091	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	49.2	75.933333	Kazakhstan	Kent	3050	3250	2850	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	not applicable	full-udg	not applicable	MZ848112	https://doi.org/10.1016/j.heliyon.2021.e08011		Laura; Dani Kitaygorodskiy	
KNT-24				vertebra	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	49.2	75.933333	Kazakhstan	Kent	3050	3250	2850	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	not applicable	full-udg	not applicable	MZ848113	https://doi.org/10.1016/j.heliyon.2021.e08011		Laura; Dani Kitaygorodskiy	
KNT-25				radius bone, UBERON:0001423	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	49.2	75.933333	Kazakhstan	Kent	3050	3250	2850	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	not applicable	full-udg	not applicable	MZ848114	https://doi.org/10.1016/j.heliyon.2021.e08011		Laura; Dani Kitaygorodskiy	
KNT-3				calcareous tooth, UBERON:0001091	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	49.2	75.933333	Kazakhstan	Kent	3050	3250	2850	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	not applicable	full-udg	not applicable	MZ848102	https://doi.org/10.1016/j.heliyon.2021.e08011		Laura; Dani Kitaygorodskiy	
KNT-4				calcareous tooth, UBERON:0001091	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	49.2	75.933333	Kazakhstan	Kent	3050	3250	2850	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	not applicable	full-udg	not applicable	MZ848103	https://doi.org/10.1016/j.heliyon.2021.e08011		Laura; Dani Kitaygorodskiy	
KNT-7				calcareous tooth, UBERON:0001091	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	49.2	75.933333	Kazakhstan	Kent	3050	3250	2850	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	not applicable	full-udg	not applicable	MZ848104	https://doi.org/10.1016/j.heliyon.2021.e08011		Laura; Dani Kitaygorodskiy	
TKS-02				calcareous tooth, UBERON:0001091	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	45.85	56.55	Kazakhstan	Toksanbai	3510	3780	3240	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	not applicable	full-udg	not applicable	MZ848115	https://doi.org/10.1016/j.heliyon.2021.e08011		Laura; Dani Kitaygorodskiy	
TKS-04				metacarpal bone, UBERON:0002374	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	45.85	56.55	Kazakhstan	Toksanbai	3510	3780	3240	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	not applicable	full-udg	not applicable	MZ848116	https://doi.org/10.1016/j.heliyon.2021.e08011		Laura; Dani Kitaygorodskiy	
TKS-07				calcareous tooth, UBERON:0001091	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	45.85	56.55	Kazakhstan	Toksanbai	3510	3780	3240	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	not applicable	full-udg	not applicable	MZ848117	https://doi.org/10.1016/j.heliyon.2021.e08011		Laura; Dani Kitaygorodskiy	
TKS-08				radius bone, UBERON:0001423	missing	not applicable	Sheep	9940.0	Ovis, Ovis aries	45.85	56.55	Kazakhstan	Toksanbai	3510	3780	3240	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	CAPILLARY	AMPLICON	control region	not applicable	full-udg	not applicable	MZ848118	https://doi.org/10.1016/j.heliyon.2021.e08011		Laura; Dani Kitaygorodskiy	
