samp_name	source_mat_id	sample_alt_lab_ids	biosamples_accession	tissue_type	molecular_sex	molecular_sex_reference	samp_taxon_common	samp_taxon_ID	specific_host	latitude	longitude	geo_loc_name	site_name	sample_age	sample_age_upper	sample_age_lower	sample_age_inference_methods	c14_age	c14_age_sd	c14_lab_code	sample_age_reference	sample_age_notes	nuclear_sequencing_platform	nuclear_library_strategy	nuclear_depth_of_coverage	nuclear_damage_treatment	nuclear_lib_strandedness	nuclear_reference	mt_sequencing_platform	mt_library_strategy	mt_targeted_region	mt_depth_of_coverage	mt_damage_treatment	mt_lib_strandedness	mt_accession	mt_reference	curator_comments	curated_by	curation_complete
Bruno	UAMES 29513	not applicable	SAMN18642321	Root of Tooth from Skull	female	10.1038/s41559-022-01753-8	Polar Bear	29073	Ursus maritimus	70.8925	-153.767222	Northern Alaska	Beaufort Sea coast near Point McLeod	90000	110000	70000	C14 & chronostratigraphic inference	Beta-283240: >43,500;OxA-23894: >50,500;OxA-23986: >50,500	-	Beta-283240;OxA-23894;OxA-23986	https://doi.org/10.1038/s41559-022-01753-8		Illumina HiSeq 4000 & Xten systems;Performed screening first with Illumina MiSeq or Illumina NextSeq systems	WGS	20.3x	no-UDG (data processing/post-sequencing damage treatment only)	BOTH ds & ss;ds for 4 of 6, ss for 2 of 6	https://doi.org/10.1038/s41559-022-01753-8	Illumina HiSeq 4000 & Xten systems;Performed screening first with Illumina MiSeq or Illumina NextSeq systems	WGS	complete	863x	-	BOTH ds & ss;ds for 4 of 6, ss for 2 of 6	NC_003428.1	https://doi.org/10.1038/s41559-022-01753-8	radiocarbon dating does not give upper and low limit and is only given as an indefinite range (e.g. >50kya)	Róisín Ferguson	yes
(Ancient) Poolepynten	NHMO-DMA-55134	EL03, EL04, EL05, EL06, EL14, EL15 (all the same sample just differnet extraction)	SAMN01057687	Canine tooth;UBERON:0003674	missing	not applicable	Polar Bear	29073	Ursus maritimus	78.445	11.893056	Svalbard, Norway	Poolepynten, Prins Karls Forland,	113000	131000	95000	Optically Stimulated Luminescence (OSL) of two sediments	>45,000	-	Poolepynten	https://doi.org/10.1111/j.1751-8369.2008.00087.x		Ion Torrent & Illumina HiSeqX & Illumina TruSeq	WGS (EL03 - EL06): Accel-NGS-2S Plus DNA kit (EL14 & EL15)	10x	PreCR Repair Mix (only performed on one sample - EL15)	missing	https://doi.org/10.1073/pnas.2200016119	Roche GS FLX Sequencer	WGS (454 GS FLX protocol)	complete	14x	-	-	OM732482	https://doi.org/10.1073/pnas.0914266107		Róisín Ferguson	yes
JBB-32K		not applicable	No NCBI accesion number linked but instead DDJB no. linked;DRA009015 (gives access to fasta files and more)	Petrosal part of the temporal bone;UBERON:0001694	missing	not applicable	Brown Bear	9644	Ursus arctos	36.077222	138.738889	Ueno Village Honshu Island Japan	Oinu ana Cave	32464	32719	32209	radiocarbon dating	see sample age	-	JBB-32K	https://doi.org/10.1098/rsos.210518		Illumina HiSeq XTen	WGS	0.11x	post - treatment damage treatment	ds	https://royalsocietypublishing.org/doi/full/10.1098/rspb.2023.2411	Illumina HiSeq XTen	WGS	complete	4x	UDG		LC595633	https://doi.org/10.1098/rsos.210518	previously published data mentioned in nuclear paper, DRR30533 & DRR308534;this is the biosample no. that corresponds on the ENA website SAMD00391976 but is it correct?		no
JBB-19K	SMNH-VeF226 (Saitama Museum of Natural History, Nagatoro, Saitama, Japan)	not applicable	No NCBI accesion number linked but instead DDJB no. linked;DRA012418 (gives access to fasta files and more)	Canine tooth;UBERON:0003674	missing	not applicable	Brown Bear	9644	Ursus arctos	35.959028	38.933389	Saitama Prefecture, Japan	Cave near Chichibu city,						-	JBB-19K	https://royalsocietypublishing.org/doi/10.1098/rsos.210518		Illumina HiSeq XTen					https://royalsocietypublishing.org/doi/full/10.1098/rspb.2023.2411	Illumina HiSeq XTen		Two unqiue mtDNA sequences	-	UDG			https://royalsocietypublishing.org/doi/10.1098/rsos.210518			no
GS136	archeological paper??	GS136_1, GS136_2 (library codes)	SAMEA4762866	Petrosal part of the temporal bone;UBERON:0001694	missing	not applicable	Cave bear	518689	Ursus ingressus	47.666667	14.283333	Austria	Gamssulzen Cave	35062	36028	34096	radiocarbon dating	31062 (uncal C14 BP)	500	23139	https://doi.org/10.1111/mec.13800		Illumina HiSeq	WGS	3.55x	post sequencing damage treatment	DS	https://doi.org/10.1038/s41559-018-0654-8	Illumina HiSeq Platform	WGS	complete	59.27x	post-mortem damage treatment (i.e. filtering steps)	DS		https://doi.org/10.1111/mec.13800		Róisín Ferguson	no
E-VD-1838	archeological paper??	UD1838_1 (lib code)	SAMEA4762867	Petrosal part of the temporal bone;UBERON:0001694	missing	not applicable	Cave bear	39097	Ursus spelaeus	42.75	7.205833	Spain	Eiros Cave	34806	35737	33875	radiocarbon dating	30737	500	23140	https://doi.org/10.1111/mec.13800		Illumina NextSeq 5000	WGS	2.85x	post sequencing damage treatment	SS	https://doi.org/10.1038/s41559-018-0654-8	Illumina NextSeq 500	WGS	complete	86.31x	post-mortem damage treatment (i.e. filtering steps)	SS		https://doi.org/10.1111/mec.13800		Róisín Ferguson	no
WK01	archeological paper??	WK01_1 (lib code)	SAMEA4762865	Petrosal part of the temporal bone;UBERON:0001694	missing	not applicable	Cave bear	2115972	Ursus spelaeus eremus	47.52	13.208333	Austria	Windischkopf cave	71992	91860	54640	Phylogenetic tip dating analysis	>49000 (C14)	-	23137	https://doi.org/10.1111/mec.13800		Illumina MiSeq & NextSeq 5000	WGS	3.49x	post sequencing damage treatment	SS	https://doi.org/10.1038/s41559-018-0654-8	Illumina NextSeq 500	WGS	complete	4.88x	post-mortem damage treatment (i.e. filtering steps)	SS		https://doi.org/10.1111/mec.13800		Róisín Ferguson	no
HV74	archeological paper??	HV74_1 to HV74_7 (lib codes)	SAMEA4762868	Petrosal part of the temporal bone;UBERON:0001694	missing	not applicable	Cave bear	518692	Ursus kudarensis	40.8225	45.005	Armenia	Hovk-1 cave	54600	60300	48900	optically stimulated luminescence	>49000 (C14)	-	23142	optically stimulated luminescene date: https://www.sciencedirect.com/science/article/pii/S027737911100299X?via%3Dihub  C14 date: https://www.biorxiv.org/content/10.1101/075911v1		Illumina MiSeq & NextSeq 5000	WGS	2.39x	post sequencing damage treatment	DS & SS (multiple libraries constructed)	https://doi.org/10.1038/s41559-018-0654-8	MiSeq & NextSeq	WGS	complete	3x	-		MH605139	https://www.nature.com/articles/s41559-018-0654-8			no
Uap	archeological paper??	Uap_1 to Uap_7 (lib codes)	SAMEA4762869	Petrosal part of the temporal bone;UBERON:0001694	missing	not applicable	Brown Bear	9644	Ursus arctos	47.970194	16.7545	Austria	Bear Cave, Winden am See, Austria	41201	42096	40306	radiocarbon dating	36680	500	23141	https://doi.org/10.1111/mec.13800		Illumina MiSeq & NextSeq 5000	WGS	1.93x	post sequencing damage treatment	DS & SS (multiple libraries constructed)	https://doi.org/10.1038/s41559-018-0654-8	Illumina NextSeq 500	WGS	complete	87.36x	post-mortem damage treatment (i.e. filtering steps)	SS		https://doi.org/10.1111/mec.13800			no
Leitrim-4	NMING:F21458	not applicable	SAMN04884477	molar tooth;UBERON:0003655	missing	not applicable	Brown Bear	9644	Ursus arctos	846420N	580280E	Co. Leitrim, Ireland	Poll na mBéar Cave, Glenade	3791	3841	3741	see edward et al, 2011				edwards et al, 2011???		Illumina Miseq & HiSeq 2500	WGS	0.2035x	post sequencing damage treatment	DS	https://doi.org/10.1093/molbev/msy018	missing	? amplicons?	two mtDNA hypervariable regions								no
