Sheet	Entries_released	Nuclear_data	Mitochondrial_data	Papers	Entries_raw
bos	127	127	127	7	127
beluga	0	0	0	0	53
hippos	2	2	2	2	2
land_snails	2	2	2	2	2
canids	283	283	12	32	287
ovis	206	149	126	8	667
capra	145	145	79	11	145
ursus	0	0	0	0	50
elephantidae	50	50	50	7	311
cervinae	0	0	0	0	72
sus	354	354	0	4	354
felinae	172	172	1	7	172
rodent	52	39	52	2	52
nh_primates	15	4	15	8	15
columbidae	97	97	0	5	97
rhinocerotidae	0	0	0	0	72
sirenia	13	13	13	3	13
sturgeon	0	0	0	0	0
Summary	1518	1437	479	98	2491
